"check","estado","detalle","evidencia"
"Busqueda Shopify Liquid previa","VERIFICADO Y CORRECTO","Se consultaron referencias de canonical_url y page object antes de generar codigo","search_docs.mjs"
"Identificacion por page.id","VERIFICADO Y CORRECTO","El prototipo usa IDs Shopify 687276622200 y 687276654968, no handles localizados","geo-landing-schema.liquid"
"Bloqueo idiomas no prioritarios","CORREGIDO Y VERIFICADO","Solo activa ES/EN/FR/DE/NL; IT/PT no reciben schema del prototipo","geo-landing-schema.liquid revision 2"
"Validacion oficial Liquid","VERIFICADO Y CORRECTO","geo-landing-schema.liquid passed all checks","validate.mjs artifact mw-012l2-geo-schema revision 2"
"Validacion JSON-LD muestra Espana ES","VERIFICADO Y CORRECTO","JSON parse valido; WebPage + FAQPage + 3 FAQ","simulacion local"
"Validacion JSON-LD muestra Espana EN","VERIFICADO Y CORRECTO","JSON parse valido; WebPage + FAQPage + 3 FAQ","simulacion local"
"Validacion JSON-LD muestra Espana FR","VERIFICADO Y CORRECTO","JSON parse valido; WebPage + FAQPage + 3 FAQ","simulacion local"
"Validacion JSON-LD muestra Espana DE","VERIFICADO Y CORRECTO","JSON parse valido; WebPage + FAQPage + 3 FAQ","simulacion local"
"Validacion JSON-LD muestra Espana NL","VERIFICADO Y CORRECTO","JSON parse valido; WebPage + FAQPage + 3 FAQ","simulacion local"
"Validacion JSON-LD muestra Francia ES","VERIFICADO Y CORRECTO","JSON parse valido; WebPage + FAQPage + 3 FAQ","simulacion local"
"Validacion JSON-LD muestra Francia EN","VERIFICADO Y CORRECTO","JSON parse valido; WebPage + FAQPage + 3 FAQ","simulacion local"
"Validacion JSON-LD muestra Francia FR","VERIFICADO Y CORRECTO","JSON parse valido; WebPage + FAQPage + 3 FAQ","simulacion local"
"Validacion JSON-LD muestra Francia DE","VERIFICADO Y CORRECTO","JSON parse valido; WebPage + FAQPage + 3 FAQ","simulacion local"
"Validacion JSON-LD muestra Francia NL","VERIFICADO Y CORRECTO","JSON parse valido; WebPage + FAQPage + 3 FAQ","simulacion local"

