recurso,tipo,id,url,idioma,estado,evidencia,problema,recomendacion,prioridad,riesgo,requiere_aprobacion
Black Friday ES,Collection,gid://shopify/Collection/646234440056,https://www.matchwalls.com/collections/papel-pintado-black-friday,ES,INCORRECTO,"200, canonical self, H1 BLACK FRIDAY 2024, SEO description contiene 2024","Contenido estacional obsoleto indexable","Decidir evergreen/oferta 2026/noindex/redirect antes de cambiar",Crítica,Medio,si
Black Friday EN,Collection localizada,DECLARADO PERO NO VERIFICADO,https://www.matchwalls.com/en/collections/wallpapers-black-friday,EN,INCORRECTO,"200 observado; title 2025 y H1 Black Friday 2024","Inconsistencia de ano en pagina indexable","Revisar traducciones/SEO y alinear con decision ES",Crítica,Medio,si
Muestra Abstract Curves Negro,Product,gid://shopify/Product/8554043474147,https://www.matchwalls.com/products/muestra-abstract-curves-negro,ES,VERIFICADO PERO MEJORABLE,"Producto ACTIVE, publicado, template muestra, sin SEO custom, 200 indexable","Muestra indexable como producto independiente","Definir politica noindex/canonical con mapa producto principal",Crítica,Alto,si
Líneas Nórdicas Negro,Product,gid://shopify/Product/8474101645539,https://www.matchwalls.com/products/lineas-noridcas-negro,ES,INCORRECTO,"Producto ACTIVE y publicado; handle contiene noridcas","Handle con typo de familia","Crear mapa de redireccion 301 antes de cambiar handle",Crítica,Alto,si
Coleccion FR matchalls,Collection localizada,NO ACCESIBLE,https://www.matchwalls.com/fr/collections/nouveaux-matchalls-matchwallsmurals,FR,INCORRECTO,"200, canonical self, URL contiene matchalls","Marca mal escrita en URL indexable","Confirmar handle correcto y preparar 301",Crítica,Medio,si
Request sample EN,Page publica,NO ACCESIBLE,https://www.matchwalls.com/en/pages/request-your-sample,EN,INCORRECTO,"200, canonical self, H1 count 0","Pagina indexable sin H1/contenido principal claro","Revisar plantilla/secciones localizadas en tema auxiliar",Crítica,Alto,si
About FR,Page publica,NO ACCESIBLE,https://www.matchwalls.com/fr/pages/a-propos-de-nous,FR,INCORRECTO,"200, canonical self, H1 count 0","Pagina de entidad sin H1 visible","Revisar plantilla/secciones localizadas en tema auxiliar",Crítica,Alto,si
About NL,Page publica,NO ACCESIBLE,https://www.matchwalls.com/nl/pages/over-ons,NL,INCORRECTO,"200, canonical self, H1 count 0","Pagina de entidad sin H1 visible","Revisar plantilla/secciones localizadas en tema auxiliar",Crítica,Alto,si
facade-variants test,URL publica/sitemap historico,NO ACCESIBLE,https://www.matchwalls.com/en/pages/facade-variants/test,EN,INCOMPLETO,"301 observado a /en/; Admin sin pagina publicada ni redirect manual; sitemap bloqueado por 429","Historial indicaba URL de prueba en sitemap, pero estado actual no cerrado","Revalidar sitemap cuando no haya 429 y localizar origen si persiste",Alta,Bajo,si
Sitemap publico,Recurso tecnico,NO ACCESIBLE,https://www.matchwalls.com/sitemap.xml,Global,NO ACCESIBLE,"Tras rastreo, devuelve 429 Verifying your connection","Proteccion temporal impide revalidacion completa","Esperar/enfriar sesion o usar export/control de Search Console",Alta,Bajo,no
Search Console capturas,Plataforma externa,NO ACCESIBLE,matchwalls.com,Global,DECLARADO PERO NO VERIFICADO,"Daniel aporto capturas: 404, noindex, canonical, redirect, 5xx, crawled/discovered no indexed","No hay acceso directo ni export URL a URL en esta sesion","Solicitar export CSV para cruzar con Shopify y sitemap",Alta,Bajo,no
