bloque,mercado,idioma,tipo,handle_actual_o_propuesto,estado_shopify_real,prioridad,decision_recomendada,accion_permitida_ahora,accion_no_permitida_ahora,comentario
Pais pilar,España,ES,pagina_existente,papel-pintado-espana,existe como página antigua,P1 alta,REFORMULAR / mejorar como landing país pilar,planificar contenido y arquitectura,editar/publicar sin propuesta,Debe pasar de página de envíos/listado a landing transaccional + GEO + B2B.
Pais pilar,Francia,FR,pagina_existente,papel-pintado-francia,existe como página antigua,P1 alta,REFORMULAR / mejorar como landing país pilar,planificar contenido y arquitectura,editar/publicar sin propuesta,Base útil pero insuficiente; requiere contenido FR nativo.
Pais pilar,Alemania,DE,pagina_faltante,tapeten-deutschland,no detectada landing madura,P1 alta,CREAR briefing de landing país DE,solo planificación,crear página sin copy/QA nativo,"Trabajar intención alemana: Tapeten, Wandtapeten, Fototapeten nach Maß."
Pais pilar,Países Bajos,NL,pagina_faltante,behang-nederland,no detectada landing madura,P1 alta,CREAR briefing de landing país NL,solo planificación,crear página sin revisión NL,Atacar behang/fotobehang/op maat.
Pais pilar,UK,EN-UK,pagina_faltante,wallpaper-uk,no detectada landing madura,P1 alta,CREAR briefing EN-UK diferenciado,solo planificación,usar EN genérico como UK final,"Diferenciar vocabulario, confianza y shipping respecto USA."
Pais pilar,Bélgica,FR/NL,pagina_faltante,papier-peint-belgique / behang-belgie,no detectada landing madura,P1 alta,CREAR enfoque bilingüe BE,solo planificación,crear una sola página monolingüe pobre,Bélgica requiere FR/NL o arquitectura clara por idioma.
Pais pilar,USA,EN-US,pagina_faltante,wallpaper-usa,no detectada landing madura,P1 internacional,CREAR en ola posterior,solo planificación,mezclar con UK sin diferenciación,"Necesita trust, shipping, medidas, muestras, duties/returns."
Pais pilar,México,ES-MX,pagina_faltante,papel-pintado-mexico,no detectada landing madura,P1 internacional,CREAR en ola posterior,solo planificación,usar ES España como México final,"Adaptar tono, confianza, envío y términos locales."
Fase 2,Italia,IT,idioma_publicado,it,publicado pero no prioritario,P2 standby,LIMPIEZA mínima defensiva,solo detectar errores críticos,optimización editorial/landings IT,No trabajar ahora salvo 404/noindex accidental/hreflang/sitemap crítico.
Fase 2,Portugal,PT-PT,idioma_publicado,pt-PT,publicado pero no prioritario,P2 standby,LIMPIEZA mínima defensiva,solo detectar errores críticos,optimización editorial/landings PT,No trabajar ahora salvo 404/noindex accidental/hreflang/sitemap crítico.
