lote,fecha,grupo,idioma,indice_visible,href_actual,titulo_visible_actual,problema,estado,prioridad,accion_propuesta,titulo_visible_propuesto,canal_futuro_sugerido,handle_url,requiere_decision_humana,riesgo,rollback_futuro,notas
MW-COLLECTIONS-I18N-CARD-TITLES-COPY-MAP-013E15,2026-07-05,BLACK_FRIDAY_POLICY,ES,16,/collections/papel-pintado-black-friday,Papel Pintado Black Friday,VISIBLE_BLACK_FRIDAY_REVIEW,REQUIERE DECISION HUMANA,Alta,EXCLUIR_DEL_HUB_EVERGREEN,N/A - excluir del listado evergreen; no renombrar,Theme/listing display rule en lote separado,STANDBY,SI,Alto,Restaurar inclusion visible en hub/listado evergreen,"011D/011D1 ya trataron Black Friday como campaña obsoleta/noindex; no borrar ni cambiar URL sin decisión adicional."
MW-COLLECTIONS-I18N-CARD-TITLES-COPY-MAP-013E15,2026-07-05,TOPONYM_FIX,EN,9,/en/collections/basin-wallpaper,Basin Wallpaper,VISIBLE_TOPONYM_TRANSLATED_INCORRECT,INCORRECTO,Alta,TITLE_TRANSLATION_UPDATE,Cuenca Wallpaper,LangShop/Shopify Translate - collection title only,STANDBY,NO,Medio,Restaurar titulo visible anterior Basin Wallpaper,"Cuenca es topónimo; Basin es traducción literal incorrecta. No tocar handle en este lote."
MW-COLLECTIONS-I18N-CARD-TITLES-COPY-MAP-013E15,2026-07-05,BLACK_FRIDAY_POLICY,EN,13,/en/collections/wallpapers-black-friday,Black Friday Wallpaper,VISIBLE_BLACK_FRIDAY_REVIEW,REQUIERE DECISION HUMANA,Alta,EXCLUIR_DEL_HUB_EVERGREEN,N/A - excluir del listado evergreen; no renombrar,Theme/listing display rule en lote separado,STANDBY,SI,Alto,Restaurar inclusion visible en hub/listado evergreen,"Campaña temporal visible en hub evergreen; requiere decisión separada."
MW-COLLECTIONS-I18N-CARD-TITLES-COPY-MAP-013E15,2026-07-05,PROPER_NAME_ACCENT,FR,4,/fr/collections/acheter-papier-peint-alava,Papier Peint Alava,SPANISH_PROPER_NAME_ACCENT_REVIEW,VERIFICADO PERO MEJORABLE,Media,TITLE_TRANSLATION_UPDATE,Papier Peint Álava,LangShop/Shopify Translate - collection title only,STANDBY,NO,Bajo,Restaurar titulo visible anterior Papier Peint Alava,"Corrección ortográfica de topónimo español; no tocar handle."
MW-COLLECTIONS-I18N-CARD-TITLES-COPY-MAP-013E15,2026-07-05,PROPER_NAME_ACCENT,FR,7,/fr/collections/acheter-papier-peint-almeria,Papier Peint Almeria,SPANISH_PROPER_NAME_ACCENT_REVIEW,VERIFICADO PERO MEJORABLE,Media,TITLE_TRANSLATION_UPDATE,Papier Peint Almería,LangShop/Shopify Translate - collection title only,STANDBY,NO,Bajo,Restaurar titulo visible anterior Papier Peint Almeria,"Corrección ortográfica de topónimo español; no tocar handle."
MW-COLLECTIONS-I18N-CARD-TITLES-COPY-MAP-013E15,2026-07-05,PROPER_NAME_ACCENT,FR,11,/fr/collections/acheter-papier-peint-avila,Papier Peint Avila,SPANISH_PROPER_NAME_ACCENT_REVIEW,VERIFICADO PERO MEJORABLE,Media,TITLE_TRANSLATION_UPDATE,Papier Peint Ávila,LangShop/Shopify Translate - collection title only,STANDBY,NO,Bajo,Restaurar titulo visible anterior Papier Peint Avila,"Corrección ortográfica de topónimo español; no tocar handle."
MW-COLLECTIONS-I18N-CARD-TITLES-COPY-MAP-013E15,2026-07-05,BLACK_FRIDAY_POLICY,FR,16,/fr/collections/papiers-peints-black-friday,Papier Peint Black Friday,VISIBLE_BLACK_FRIDAY_REVIEW,REQUIERE DECISION HUMANA,Alta,EXCLUIR_DEL_HUB_EVERGREEN,N/A - excluir del listado evergreen; no renombrar,Theme/listing display rule en lote separado,STANDBY,SI,Alto,Restaurar inclusion visible en hub/listado evergreen,"Campaña temporal visible en hub evergreen; requiere decisión separada."
MW-COLLECTIONS-I18N-CARD-TITLES-COPY-MAP-013E15,2026-07-05,PROPER_NAME_ACCENT,FR,41,/fr/collections/acheter-papier-peint-jaen,Papier Peint Jaen,SPANISH_PROPER_NAME_ACCENT_REVIEW,VERIFICADO PERO MEJORABLE,Media,TITLE_TRANSLATION_UPDATE,Papier Peint Jaén,LangShop/Shopify Translate - collection title only,STANDBY,NO,Bajo,Restaurar titulo visible anterior Papier Peint Jaen,"Corrección ortográfica de topónimo español; no tocar handle."
MW-COLLECTIONS-I18N-CARD-TITLES-COPY-MAP-013E15,2026-07-05,LINGUISTIC_REFINEMENT,DE,9,/de/collections/wandmalereistruktur-matchwallsmurals,Tapete 3D,GERMAN_NATURALNESS_REVIEW,VERIFICADO PERO MEJORABLE,Media,TITLE_TRANSLATION_UPDATE,3D-Tapete,LangShop/Shopify Translate - collection title only,STANDBY,NO,Bajo,Restaurar titulo visible anterior Tapete 3D,"Orden natural en alemán; no tocar handle heredado matchwallsmurals."
MW-COLLECTIONS-I18N-CARD-TITLES-COPY-MAP-013E15,2026-07-05,BLACK_FRIDAY_POLICY,DE,18,/de/collections/schwarzer-freitag-wallpaper,Tapete Black Friday,VISIBLE_BLACK_FRIDAY_REVIEW,REQUIERE DECISION HUMANA,Alta,EXCLUIR_DEL_HUB_EVERGREEN,N/A - excluir del listado evergreen; no renombrar,Theme/listing display rule en lote separado,STANDBY,SI,Alto,Restaurar inclusion visible en hub/listado evergreen,"Campaña temporal visible en hub evergreen; requiere decisión separada."
