platform,bot_or_control,current_robots_state,status,recommendation,source
Google Search / Chrome / Gemini AI features,Googlebot; Google-Extended,Allowed via User-agent:* on public content; Google-Extended not explicit,VERIFICADO PERO MEJORABLE,Keep Googlebot crawlable. Decide separately whether to allow or disallow Google-Extended for Gemini/Vertex training/grounding outside Search. No special AI schema needed; focus on SEO fundamentals.,Google Search Central AI features; Google crawlers docs
Bing / Edge / Copilot,bingbot; Bing index; NOCACHE/NOARCHIVE controls,Allowed via User-agent:* on public content; sitemap referenced; Bing Webmaster access not verified,VERIFICADO PERO MEJORABLE,"Verify Bing Webmaster Tools, submit sitemap, design IndexNow. Avoid NOARCHIVE if Copilot citations are desired; audit NOCACHE/NOARCHIVE in a later low-rate recheck.",Bing Webmaster Blog; IndexNow docs
Yahoo Search,Bing-powered Yahoo Search / Slurp legacy,Slurp allowed via User-agent:* on public content; Yahoo submission path is Bing Webmaster per Yahoo help,VERIFICADO PERO MEJORABLE,Use Bing Webmaster Tools as primary route for Yahoo discovery; measure Yahoo separately only if data source is available.,Yahoo Help
ChatGPT Search,OAI-SearchBot; ChatGPT-User; GPTBot,OAI-SearchBot and ChatGPT-User allowed via User-agent:*; GPTBot training also allowed implicitly,VERIFICADO PERO MEJORABLE,Explicitly allow OAI-SearchBot and ChatGPT-User if we want ChatGPT search/citation eligibility. Decide separately whether GPTBot training remains allowed.,OpenAI crawlers docs
Claude Search,Claude-SearchBot; Claude-User; ClaudeBot,Claude-SearchBot and Claude-User allowed via User-agent:*; ClaudeBot training also allowed implicitly,VERIFICADO PERO MEJORABLE,Explicitly allow Claude-SearchBot/Claude-User if desired. Decide separately whether ClaudeBot training remains allowed.,Anthropic crawler docs
Perplexity / Comet,PerplexityBot; Perplexity-User,Both allowed via User-agent:* on public content,VERIFICADO PERO MEJORABLE,"Keep PerplexityBot allowed for search visibility. If WAF/CDN exists, verify official IP allowlist. Note Perplexity-User may ignore robots because it is user-triggered.",Perplexity crawler docs
Apple / Safari / Siri / Spotlight,Applebot; Applebot-Extended,Both allowed via User-agent:* on public content,VERIFICADO PERO MEJORABLE,Keep Applebot crawlable for Apple search surfaces. Decide separately whether Applebot-Extended training/use remains allowed.,Applebot docs
Meta AI,Meta-WebIndexer; FacebookBot,Allowed via User-agent:* if crawler honors standard robots; no explicit rule,DECLARADO PERO NO VERIFICADO,Confirm official Meta crawler tokens and desired policy before adding explicit rules. Do not add broad blocks now.,Meta official crawler page identified but not fully readable in this run
Grok / xAI,No official crawler source verified in this run,Any xAI/Grok user-agent would be allowed via User-agent:* on public content if it honors robots,NO ACCESIBLE,Do not invent xAI crawler rules. Recheck official xAI docs/logs before policy changes.,No reliable primary source verified
Yandex,YandexBot / IndexNow participant,"Allowed via User-agent:* if relevant, but out of active scope",STANDBY,Keep standby per Daniel decision; do not prioritize Yandex Webmaster now.,Project decision
