rank_export,keyword,impressions,clicks,ctr_export,avg_position,language_signal,market_signal,intent_cluster,priority,status,risk_note,recommendation
1,papel pasillo plus,8,0,0%,3.75,ES,Espa?a / ES,Producto/color/patr?n/estilo,ALTA,VERIFICADO PERO MEJORABLE,Oportunidad visible con pocas impresiones pero posici?n ?til; requiere contenido/canonical correcto.,A?adir a cola editorial/arquitectura seg?n intenci?n; no ejecutar cambios hasta lote espec?fico.
2,papel pintado negro,6,0,0%,8.83,ES,Espa?a / ES,Producto/color/patr?n/estilo,ALTA,VERIFICADO PERO MEJORABLE,Oportunidad visible con pocas impresiones pero posici?n ?til; requiere contenido/canonical correcto.,A?adir a cola editorial/arquitectura seg?n intenci?n; no ejecutar cambios hasta lote espec?fico.
3,wall decoration interior salamanca,5,0,0%,6.0,EN/MIXED,EN o mercado local mixto,Geo/local,ALTA,VERIFICADO PERO MEJORABLE,Oportunidad visible con pocas impresiones pero posici?n ?til; requiere contenido/canonical correcto.,A?adir a cola editorial/arquitectura seg?n intenci?n; no ejecutar cambios hasta lote espec?fico.
4,papel pintado de tartán beige,4,0,0%,5.0,ES,Espa?a / ES,Producto/color/patr?n/estilo,ALTA,VERIFICADO PERO MEJORABLE,Oportunidad visible con pocas impresiones pero posici?n ?til; requiere contenido/canonical correcto.,A?adir a cola editorial/arquitectura seg?n intenci?n; no ejecutar cambios hasta lote espec?fico.
5,wall decoration interior tarragona,4,0,0%,8.5,EN/MIXED,EN o mercado local mixto,Geo/local,ALTA,VERIFICADO PERO MEJORABLE,Oportunidad visible con pocas impresiones pero posici?n ?til; requiere contenido/canonical correcto.,A?adir a cola editorial/arquitectura seg?n intenci?n; no ejecutar cambios hasta lote espec?fico.
6,papel pintado con diseño geométrico,4,0,0%,8.75,ES,Espa?a / ES,Producto/color/patr?n/estilo,ALTA,VERIFICADO PERO MEJORABLE,Oportunidad visible con pocas impresiones pero posici?n ?til; requiere contenido/canonical correcto.,A?adir a cola editorial/arquitectura seg?n intenci?n; no ejecutar cambios hasta lote espec?fico.
7,papel pintado geométrico,3,0,0%,5.0,ES,Espa?a / ES,Producto/color/patr?n/estilo,MEDIA,VERIFICADO PERO MEJORABLE,Se?al ?til de baja muestra; no sobrerreaccionar con p?ginas nuevas.,Agrupar en clusters y validar con Google/GSC antes de crear o modificar landings.
8,fresque avec photo,3,0,0%,5.0,FR,Francia,Mural personalizado / proyecto,MEDIA,VERIFICADO PERO MEJORABLE,Se?al ?til de baja muestra; no sobrerreaccionar con p?ginas nuevas.,Agrupar en clusters y validar con Google/GSC antes de crear o modificar landings.
9,papel de parede lilás,3,0,0%,9.33,PT,Portugal/Brasil / fuera de prioridad,Producto/color/patr?n/estilo,BAJA,STANDBY,Fuera de idiomas prioritarios actuales; puede consumir foco si se optimiza ahora.,No crear contenido nuevo ahora; conservar como se?al para Fase 2 IT/PT o limpieza defensiva.
10,mural com nome da equipe e foto com tnt e crepon,2,0,0%,10.0,PT,Portugal/Brasil / fuera de prioridad,Mural personalizado / proyecto,BAJA,STANDBY,Fuera de idiomas prioritarios actuales; puede consumir foco si se optimiza ahora.,No crear contenido nuevo ahora; conservar como se?al para Fase 2 IT/PT o limpieza defensiva.
11,papelillo paris,2,0,0%,9.0,ES,Espa?a / ES,Geo/local,MEDIA,VERIFICADO PERO MEJORABLE,Se?al ?til de baja muestra; no sobrerreaccionar con p?ginas nuevas.,Agrupar en clusters y validar con Google/GSC antes de crear o modificar landings.
12,site para fazer mural,2,0,0%,6.5,PT,Portugal/Brasil / fuera de prioridad,Mural personalizado / proyecto,BAJA,STANDBY,Fuera de idiomas prioritarios actuales; puede consumir foco si se optimiza ahora.,No crear contenido nuevo ahora; conservar como se?al para Fase 2 IT/PT o limpieza defensiva.
13,papel de pared con patrón de gingham rosa,2,0,0%,8.0,ES,Espa?a / ES,Producto/color/patr?n/estilo,MEDIA,VERIFICADO PERO MEJORABLE,Se?al ?til de baja muestra; no sobrerreaccionar con p?ginas nuevas.,Agrupar en clusters y validar con Google/GSC antes de crear o modificar landings.
14,azul marejada,2,0,0%,1.0,ES,Espa?a / ES,Producto/color/patr?n/estilo,MEDIA,VERIFICADO PERO MEJORABLE,Se?al ?til de baja muestra; no sobrerreaccionar con p?ginas nuevas.,Agrupar en clusters y validar con Google/GSC antes de crear o modificar landings.
15,papel de pared estética negra y blanco,2,0,0%,6.0,ES,Espa?a / ES,Producto/color/patr?n/estilo,MEDIA,VERIFICADO PERO MEJORABLE,Se?al ?til de baja muestra; no sobrerreaccionar con p?ginas nuevas.,Agrupar en clusters y validar con Google/GSC antes de crear o modificar landings.
16,papel de tartán amarillo y azul,2,0,0%,4.5,ES,Espa?a / ES,Producto/color/patr?n/estilo,MEDIA,VERIFICADO PERO MEJORABLE,Se?al ?til de baja muestra; no sobrerreaccionar con p?ginas nuevas.,Agrupar en clusters y validar con Google/GSC antes de crear o modificar landings.
17,papel con cuadros de gingham verde,2,0,0%,9.0,ES,Espa?a / ES,Producto/color/patr?n/estilo,MEDIA,VERIFICADO PERO MEJORABLE,Se?al ?til de baja muestra; no sobrerreaccionar con p?ginas nuevas.,Agrupar en clusters y validar con Google/GSC antes de crear o modificar landings.
