"panel_section","metric","kpi_definition","primary_source","current_status","current_value_or_baseline","markets_languages","frequency","owner","decision_rule","next_action","blocker"
"Resumen ejecutivo","Estado SEO/GEO global","Estado agregado del programa SEO/GEO/AEO con base en cola y datos disponibles","014B + registros proyecto","VERIFICADO PERO MEJORABLE","Hay datos Bing/Copilot reales, pero publicación y QA público bloqueados por infraestructura","ES EN FR DE NL","Mensual","CEO/CMO","Si hay RIESGO CRITICO técnico, no liberar publicación","Mantener carril B documental","Shopify Engineering ticket 68731900"
"Resumen ejecutivo","Estado técnico storefront","Riesgo de render público, 500, cache/shards y estabilidad","013J6R + 013J6R1","RIESGO CRITICO","Safety gate 013J6R: 2/5 URLs con HTTP 500; ticket 68731900 abierto","Global","Semanal hasta cierre","CMO/Tech","Si persisten 500, no ejecutar crawls amplios ni publicar","Esperar respuesta Shopify y preparar postcheck","Respuesta Shopify Engineering pendiente"
"Negocio orgánico","Ingresos orgánicos","Revenue atribuido a tráfico orgánico por país e idioma","GA4 + Shopify Analytics","NO ACCESIBLE","No verificado en este lote","ES EN FR DE NL","Mensual","CEO/CMO","No estimar ingresos desde Bing Search Performance","Solicitar acceso/export GA4 y Shopify Analytics cuando proceda","Acceso directo no verificado"
"Negocio orgánico","Pedidos orgánicos","Pedidos atribuidos a tráfico orgánico","GA4 + Shopify Analytics","NO ACCESIBLE","No verificado en este lote","ES EN FR DE NL","Mensual","CEO/CMO","No mezclar sesiones orgánicas con pedidos sin atribución","Definir export estándar mensual","Acceso directo no verificado"
"Negocio orgánico","Tasa de conversión orgánica","Pedidos orgánicos / sesiones orgánicas","GA4 + Shopify Analytics","NO ACCESIBLE","No verificado en este lote","ES EN FR DE NL","Mensual","CMO","Si baja con impresiones al alza, revisar intención y UX","Pendiente de fuente","Acceso directo no verificado"
"Negocio orgánico","AOV orgánico","Ingresos orgánicos / pedidos orgánicos","Shopify Analytics","NO ACCESIBLE","No verificado en este lote","ES EN FR DE NL","Mensual","CEO","No usar sin segmentación por canal","Pendiente de fuente","Acceso directo no verificado"
"Search demand","Bing impresiones totales","Impresiones orgánicas Bing agregadas del overview","overview-summary 013J1","VERIFICADO Y CORRECTO","749 impresiones, periodo 2026-06-13 a 2026-07-03","Global","Mensual","CMO","Si suben sin clicks, revisar snippets y URL intent fit","Consolidar insights 013J7","Ninguno para análisis local"
"Search demand","Bing clics totales","Clics orgánicos Bing agregados del overview","overview-summary 013J1","VERIFICADO Y CORRECTO","3 clics, periodo 2026-06-13 a 2026-07-03","Global","Mensual","CMO","Cruzar con páginas y queries antes de cambiar contenido","Consolidar insights 013J7","Ninguno para análisis local"
"Search demand","Bing CTR","Clics / impresiones en Bing overview","overview-summary 013J1","VERIFICADO Y CORRECTO","0.40% calculado","Global","Mensual","CMO","CTR bajo con posición útil implica mejora de title/meta/intención futura","No tocar hasta infra estable","Shopify Engineering ticket 68731900"
"Search demand","Bing keywords exportadas","Queries disponibles en el export de Bing","keywords-summary 013J2","VERIFICADO Y CORRECTO","88 queries; 131 impresiones exportadas; 3 clics; posición media ponderada 6.43","Global","Mensual","SEO Lead","No asumir que suma todo el overview","Preparar mapa de oportunidades sin publicar","Ninguno para análisis local"
"Search demand","Bing queries ES","Queries con señal ES en Bing","keywords-summary 013J2","VERIFICADO PERO MEJORABLE","64 queries; 93 impresiones; 1 clic; posición media 6.31","ES","Mensual","SEO Lead","Priorizar intención producto/color/patrón/espacio","Preparar propuestas offline","Infra bloquea ejecución pública"
"Search demand","Bing queries geo/local","Queries geográficas/locales detectadas","keywords-summary 013J2","VERIFICADO PERO MEJORABLE","8 queries; 16 impresiones; 0 clics; posición media 6.94","ES EN FR DE NL DE","Mensual","SEO/GEO Lead","Mejorar landings existentes antes de crear nuevas","Mantener análisis documental","Infra bloquea landings"
"Search demand","Bing páginas exportadas","URLs disponibles en Page export","pages-summary 013J3","VERIFICADO Y CORRECTO","49 URLs; 136 impresiones exportadas; 3 clics; posición media 6.19","Global","Mensual","SEO Lead","Cruzar URL con canonical/indexabilidad antes de optimizar","Preparar propuesta de mejoras","Infra bloquea QA público"
"Search demand","Bing page type collections","Rendimiento de colecciones en Bing Pages","pages-summary 013J3","VERIFICADO PERO MEJORABLE","28 URLs; 83 impresiones; 2 clics; posición media 6.48","Global","Mensual","CMO/SEO","Colecciones son vector principal de demanda detectada","Priorizar propuesta offline","Infra bloquea ejecución"
"Search demand","Bing países","Distribución por país en Bing Search Performance","country-device-summary 013J4","VERIFICADO Y CORRECTO","11 países; 749 impresiones; 3 clics","Global","Mensual","CMO","Cruzar país con idioma/mercado antes de crear contenido","Mantener baseline mensual","Ninguno para análisis local"
"Search demand","Bing España","Impresiones y clics de España en Bing","country-device-summary 013J4","VERIFICADO PERO MEJORABLE","112 impresiones; 1 clic; CTR 0.89%","ES","Mensual","CMO","España sigue siendo mercado prioritario de mejora","Preparar insights ES","Infra bloquea cambios públicos"
"Search demand","Bing Francia","Impresiones y clics de Francia en Bing","country-device-summary 013J4","VERIFICADO PERO MEJORABLE","68 impresiones; 0 clics; CTR 0.00%","FR","Mensual","CMO","Si FR mantiene impresiones sin clics, revisar snippet/contenido FR","Preparar revisión offline FR","Infra bloquea cambios públicos"
"Search demand","Bing Alemania","Impresiones y clics de Alemania en Bing","country-device-summary 013J4","VERIFICADO PERO MEJORABLE","11 impresiones; 0 clics","DE","Mensual","CMO","No crear páginas sin brief DE y evidencia","Preparar brief DE local","Sin páginas/copy DE completos aprobados"
"Search demand","Bing Países Bajos","Impresiones y clics NL no aislados explícitamente en resumen","country-device-summary 013J4","INCOMPLETO","No hay métrica NL explícita separada en el resumen leído","NL","Mensual","CMO","No inferir NL si el país no está separado","Revisar country export completo en futuro lote","Detalle no resumido en 014C"
"Search demand","Bing dispositivos","Desktop/mobile en Bing Search Performance","country-device-summary 013J4","VERIFICADO Y CORRECTO","Desktop 713 impresiones y 3 clics; Mobile 36 impresiones y 0 clics","Global","Mensual","CMO/UX","Si mobile crece sin clics, revisar UX mobile y snippets","Mantener baseline","Infra bloquea QA visual público amplio"
"Google Search","Google GSC impresiones/clics","Impresiones, clics, CTR, posición por query/URL en Google","Google Search Console","NO ACCESIBLE","No verificado en este lote","ES EN FR DE NL","Mensual","CMO","No extrapolar Google desde Bing","Preparar lote de export GSC cuando proceda","Acceso/export no verificado"
"GEO/AGEO","Bing AI citations","Citas en Microsoft Copilot y partners","AI Performance 013E4","VERIFICADO Y CORRECTO","10 citas; 5 días con citas; día máximo 2026-06-17 con 3 citas","Global","Mensual","CMO","Subida de citas exige revisar exactitud y URLs citadas","Mantener baseline y comparar mensual","Grounding queries sin datos"
"GEO/AGEO","Bing AI cited pages","URLs citadas por Bing AI Performance","AI Pages 013E6","VERIFICADO Y CORRECTO","7 URLs citadas; 10 citas totales","ES EN PT","Mensual","CMO/SEO","Priorizar URLs citadas útiles; auditar deuda citada","Preparar gap FR DE NL","Infra bloquea QA público"
"GEO/AGEO","Citas ES/default","Citas AI en URLs ES/default","AI Pages 013E6","VERIFICADO PERO MEJORABLE","4 citas","ES","Mensual","CMO","Reforzar contenido citable que ya funciona","Preparar contenido factual/guías","Infra bloquea publicación"
"GEO/AGEO","Citas EN","Citas AI en URLs EN","AI Pages 013E6","VERIFICADO PERO MEJORABLE","4 citas","EN","Mensual","CMO","Auditar /en/collections/ antes de potenciar","Preparar propuesta offline","Infra bloquea QA público"
"GEO/AGEO","Citas FR DE NL","Citas AI en idiomas prioritarios FR DE NL","AI Pages 013E6","VERIFICADO PERO MEJORABLE","FR 0; DE 0; NL 0 en export revisado","FR DE NL","Mensual","CMO/GEO Lead","Si siguen a 0, abrir gap de contenido citable por idioma","MW-ENTITY-FACTUAL-BRIEF-ES-EN-FR-DE-NL-015A","Contenido factual pendiente"
"GEO/AGEO","Citas ChatGPT Claude Perplexity Gemini Grok Meta Ollama","Menciones/citas en sistemas IA fuera de Bing","Monitor manual futuro","NO ACCESIBLE","No hay panel verificado en este lote","ES EN FR DE NL","Mensual","CMO","No declarar presencia sin evidencia reproducible","Diseñar protocolo de medición posterior","Sin acceso/API/monitor definido"
"Indexabilidad","Bing sitemap status","Estado del sitemap en Bing Webmaster Tools","Sitemap QA 013E2","VERIFICADO Y CORRECTO","Success; 0 errores; 0 warnings; 7.8K URLs descubiertas","Global","Mensual","SEO Lead","Errores o warnings activan revisión técnica","Monitor mensual","Ninguno"
"Indexabilidad","GSC coverage","URLs válidas, indexadas, excluidas y errores Google","Google Search Console","NO ACCESIBLE","No verificado en este lote","ES EN FR DE NL","Mensual","SEO Lead","No cerrar indexabilidad global sin GSC","Preparar export GSC futuro","Acceso/export no verificado"
"Indexabilidad","IndexNow submissions","Recepción IndexNow en Bing Webmaster Tools","013I5 + 013I5B + 013I5C","VERIFICADO PERO MEJORABLE","Contador 13 submitted URLs; tabla/export verificable 3 URLs","Global","Semanal inicial","SEO Lead","No enviar manualmente si hay discrepancia o URLs noindex","Monitor 24-72h en futuro lote","Discrepancia Bing 13 vs 3"
"Indexabilidad","URL noindex enviada históricamente","Control de envíos IndexNow no deseados","audit 013I5","VERIFICADO PERO MEJORABLE","custom-file-uploader aparece enviada y tiene noindex,nofollow","Global","Mensual","SEO Lead","Excluir de whitelists manuales","Mantener política de no reenviar","No requiere acción inmediata"
"Crawlers","Robots y bots IA de búsqueda","Permisividad de rastreo/cita por User-agent general y archivos públicos","013C review","VERIFICADO Y CORRECTO","robots.txt, sitemap.xml, llms.txt y agents.md accesibles; no tocar robots ahora","Global","Trimestral o ante cambio","SEO/Tech","No añadir Allow específicos si no se duplican Disallow privados","Mantener política actual","Infra bloquea cambios públicos"
"Crawlers","Bots de entrenamiento","Decisión legal/estratégica sobre GPTBot ClaudeBot Google-Extended etc.","013C review","REQUIERE DECISION HUMANA","No bloquear por ahora; decisión separada de entrenamiento","Global","Cuando Dirección decida","CEO/Legal/CMO","Separar cita/búsqueda de entrenamiento","Abrir lote específico si Daniel decide opt-out","Decisión humana pendiente"
"Salud técnica","Errores HTTP 500","Eventos 500 con request-id Shopify","013J6R1","RIESGO CRITICO","2 eventos 500 añadidos: gingham-charm-verde y en/collections/salamanca-wallpaper","Global","Diario hasta resolución","Tech/CMO","Cualquier 500 en safety gate mantiene bloqueo","Esperar Shopify Engineering","Ticket 68731900"
"Salud técnica","Cloudflare 429","Riesgo de rate-limit observado en QA previo","013J6 + 013J6R","VERIFICADO PERO MEJORABLE","013J6: 36/42 bloqueadas por 429; 013J6R: 0/5 con 429 pero 2/5 con 500","Global","Post-infra","Tech/SEO","No confundir desaparición 429 con estabilidad global","Recheck post-infra","Ticket 68731900"
"Salud técnica","Core Web Vitals real","LCP INP CLS por CrUX/GSC","CrUX/GSC","NO ACCESIBLE","No verificado con datos reales en este lote","ES EN FR DE NL","Mensual","Tech/CMO","No optimizar CWV a ciegas sin datos reales","Preparar export futuro","Acceso CrUX/GSC no consolidado"
"Contenido","Entidad factual MatchWalls","Base factual coherente y citable en cinco idiomas","Documentación local futura","INCOMPLETO","Pendiente de brief ES EN FR DE NL","ES EN FR DE NL","Mensual hasta publicar","CMO/GEO Lead","No publicar claims no verificados","MW-ENTITY-FACTUAL-BRIEF-ES-EN-FR-DE-NL-015A","No iniciado en 014C"
"Contenido","Landings geográficas ES/FR","Estado de landings país ya trabajadas","012 + 014B","STANDBY","España/Francia avanzadas pero congeladas por infraestructura","ES FR","Post-infra","SEO/GEO Lead","No editar hasta postcheck infra","MW-GEO-LANDINGS-POST-INFRA-RECHECK-012P","Ticket 68731900"
"Contenido","Briefs DE/NL/UK/BE/USA/MX","Arquitectura y copy local antes de Shopify","014B","INCOMPLETO","Pendiente; no tocar Shopify","DE NL EN","Mensual","CMO/GEO Lead","Crear brief antes de páginas","MW-GEO-DE-NL-UK-BRIEF-DRAFT-015B","Priorizar tras entidad factual"
"Contenido","Roadmap de contenidos citables","Guías, FAQs, comparativas, calculadoras y casos B2B","Plan local futuro","INCOMPLETO","Pendiente","ES EN FR DE NL","Mensual","CMO/Content","Cada URL debe responder una intención concreta","MW-CITABLE-CONTENT-ROADMAP-015C","No iniciado en 014C"
"Autoridad","Backlinks/menciones","Menciones y enlaces de calidad por mercado","Bing Backlinks + otras fuentes futuras","NO ACCESIBLE","Bing muestra recomendación de pocos inbound links, sin export verificado en 014C","Global","Mensual","CMO/PR","No comprar enlaces ni asumir calidad sin auditoría","Preparar baseline futuro","Export no verificado"
"Operativa","Lotes listos sin riesgo","Siguiente trabajo seguro mientras infra está en hold","014B","VERIFICADO Y CORRECTO","MW-ENTITY-FACTUAL-BRIEF-ES-EN-FR-DE-NL-015A o MW-BING-SEARCH-PERFORMANCE-CONSOLIDATED-INSIGHTS-013J7","ES EN FR DE NL","Cada sesión","PM/CMO","Solo carril B o C sin publicar hasta infra estable","Pedir aprobación exacta del siguiente lote","Ninguno para documental"
