id,estado_evidencia,problema,evidencia,url_afectada,impacto_seo,impacto_geo,impacto_comercial,prioridad,esfuerzo,solucion_recomendada,horizonte,fuente
INT-01,Verificado,"Hreflang completo en la muestra, pero sin x-default",Todas las 565 páginas HTML válidas rastreadas declaran 8 alternates; corresponden a 7 idiomas más x-default o variantes según plantilla. Validar reciprocidad completa en un crawler sin rate limit.,https://www.matchwalls.com/,Positivo con riesgo residual.,Positivo.,Alto,31-90 días,Medio,"Validar reciprocidad, códigos regionales y x-default con Search Console/export completo; corregir pares rotos.",31-90 días,Rastreo público
INT-02,Verificado,Handles con errores propagados entre idiomas,El sitemap contiene 70 URLs con 'norid/noridcas' y 19 con 'enchathed'.,https://www.matchwalls.com/en/products/black-noridcas-lines | https://www.matchwalls.com/en/products/enchathed-forest-tapestry-blue,Alto: señales léxicas erróneas y deuda de redirecciones.,Alto: reduce comprensión de entidades/productos.,Medio,Crítica,Alto,"Crear diccionario maestro de familias/colores; corregir handles solo con mapa 301 uno-a-uno, canonicals, hreflang y enlaces actualizados.",31-90 días,Sitemap
INT-03,Verificado,Mezcla de idiomas en páginas prioritarias,La página alemana de atención al cliente usa como segundo H1 'Atención al cliente — MatchWalls'; la inglesa también conserva ese H1 español.,https://www.matchwalls.com/de/pages/kundendienst | https://www.matchwalls.com/en/pages/customer-service,Alto: relevancia y calidad editorial.,Alto: respuestas multilingües ambiguas.,Alto: reduce confianza.,Crítica,Bajo,Corregir el bloque compartido y revisar ES/EN/FR/DE/NL con detección automática y revisión humana.,0-30 días,Rastreo público
INT-04,Verificado,URL francesa con marca mal escrita,El sitemap contiene /fr/collections/nouveaux-matchalls-matchwallsmurals.,https://www.matchwalls.com/fr/collections/nouveaux-matchalls-matchwallsmurals,Medio/alto.,Medio.,Medio.,Quick win,Bajo,"Confirmar intención, crear URL francesa correcta y 301; actualizar canonical, hreflang y enlaces.",0-30 días,Sitemap
INT-05,Verificado,URL española de muestra aparece en mercados EN y FR,El sitemap incluye /en/products/muestra-de-wildflower-whisper-lila y /fr/products/muestra-de-wildflower-whisper-lila.,https://www.matchwalls.com/en/products/muestra-de-wildflower-whisper-lila | https://www.matchwalls.com/fr/products/muestra-de-wildflower-whisper-lila,Alto.,Alto.,Medio.,Crítica,Medio,Normalizar handles localizados de muestras y aplicar redirecciones controladas; revisar toda la matriz de traducción.,0-30 días,Sitemap
INT-06,Hipótesis respaldada,Sufijos -1 indican colisiones o handles duplicados,Se detectan 359 URLs de producto terminadas en -1 en el sitemap multilingüe.,https://www.matchwalls.com/de/products/alpine-serenity-brown-1,Medio/alto.,Medio.,Medio.,31-90 días,Alto,"Comparar producto fuente, traducciones y canonicals; consolidar solo cuando sean duplicados reales.",31-90 días,Sitemap
INT-07,Verificado,"Colecciones geográficas con traducciones mezcladas y defectuosas","Madrid conserva frases completas en español dentro de FR y EN; Toulouse contiene traducciones literales incorrectas en EN, DE y NL. Shopify las marca como no desactualizadas.",https://www.matchwalls.com/en/collections/madrid-wallpaper | https://www.matchwalls.com/de/collections/toulouse-wallpaper-2 | https://www.matchwalls.com/nl/collections/toulouse-wallpaper-1,"Alto: baja calidad internacional y riesgo de páginas doorway.","Alto: entidades y respuestas multilingües ambiguas.","Alto: reduce confianza y conversión.",Crítica,Alto,"Decidir qué páginas geográficas conservar usando tráfico y ventas; reescribir solo las que aporten valor único y consolidar o retirar el resto.",0-90 días,Shopify Admin API
INT-08,Verificado,"Interfaz alemana con traducciones automáticas impropias","En producto alemán se muestran textos como '3 mit Klarna in 3 Amtszeiten bezahlen', 'Haben Sie Ihre eigenen Designs? Wir werden wahr!' y 'Offenes Auto'.",https://www.matchwalls.com/de/products/brown-noridcas-linien,"Alto: baja calidad lingüística en elementos repetidos de toda la web.","Alto: contamina fragmentos recuperados y comprensión de marca.","Alto: reduce confianza y conversión.",Crítica,Medio,"Auditar las traducciones compartidas del tema DE y corregirlas en un tema aislado; validar visualmente antes de publicar.",0-30 días,Storefront público
INT-09,Verificado,"Interfaz neerlandesa con traducciones automáticas impropias","En producto NL se muestran textos como 'Betaal in 3 termen met Klarna', 'Open auto', 'Spaties', 'Heeft u uw eigen ontwerpen? We komen uit!' y 'Minimumverzoek'.",https://www.matchwalls.com/nl/products/bruine-noridcas-lijnen,"Alto: baja calidad lingüística en elementos repetidos de toda la web.","Alto: contamina fragmentos recuperados y comprensión de marca.","Alto: reduce confianza y conversión.",Crítica,Medio,"Auditar las traducciones compartidas del tema NL y corregirlas en un tema aislado; validar visualmente antes de publicar.",0-30 días,Storefront público
INT-10,Verificado,"Traducciones guardadas que no se muestran por plantillas localizadas incompletas","Muestras EN, Sobre nosotros FR/NL y FAQ EN tienen traducciones guardadas en Shopify, pero en la web pública muestran cero H1 y contenido principal vacío; Sobre nosotros DE muestra contenido fijo distinto del guardado.",https://www.matchwalls.com/en/pages/request-your-sample | https://www.matchwalls.com/fr/pages/a-propos-de-nous | https://www.matchwalls.com/nl/pages/over-ons | https://www.matchwalls.com/en/pages/frequent-questions,"Crítico: páginas indexables sin contenido que responda a la intención.","Crítico: los motores de IA no reciben la traducción editorial disponible.","Alto: pérdida de confianza y conversión.",Crítica,Alto,"Corregir las plantillas y secciones localizadas en un tema auxiliar; validar ES/EN/FR/DE/NL en móvil y escritorio antes de publicar.",0-30 días,Render público + Shopify Admin API
