id,estado_evidencia,problema,evidencia,url_afectada,impacto_seo,impacto_geo,impacto_comercial,prioridad,esfuerzo,solucion_recomendada,horizonte,fuente
CON-01,Verificado,Home con mezcla de nombres ingleses y españoles y errores visibles,"La home española muestra 'Professionals', 'Wallpaper', productos como 'Whispering Reeds Wallpaper Beige' y 'Highland Plaid Marròn'.",https://www.matchwalls.com/,Alto.,Alto.,Alto.,Crítica,Bajo,Revisión editorial completa de home ES; fijar glosario para nombres propios vs términos traducibles.,0-30 días,Render público de home
CON-02,Verificado,Blog con errores y metadatos truncables,Existe el handle español 'transfroma-tu-cocina...' y una página inglesa usa H1 'Matchalls.com'; varias meta descriptions alcanzan 320 caracteres.,https://www.matchwalls.com/blogs/inspiracion/transfroma-tu-cocina-en-un-espacio-moderno-y-funcional-papel-vinilico | https://www.matchwalls.com/en/blogs/inspiration/discover-how-the-vinyl-paper-of-matchwalls-com-can-transform-your-kitchen-into-a-modern-and-functional-space,Alto.,Alto.,Medio.,Quick win,Medio,"Corregir errores con 301, editar H1/meta y crear calendario evergreen basado en preguntas de compra/instalación.",0-30 días,Sitemap + rastreo
CON-03,Verificado,FAQ implementada y marcada con FAQPage,"14 páginas válidas incluyen FAQPage, Question y Answer.",https://www.matchwalls.com/en/pages/frequent-questions,Positivo.,Alto.,Medio.,Mantener,Bajo,"Actualizar respuestas, añadir autoría/fecha y enlazar a guías y categorías; no duplicar FAQs idénticas en exceso.",31-90 días,Rastreo público
CON-04,Verificado,B2B existe pero necesita reforzar evidencia de experiencia,Se detectan páginas Professionals/Professional Studios y versiones localizadas; algunas carecen de H1.,https://www.matchwalls.com/en/pages/professionals | https://www.matchwalls.com/en/pages/professional-studies,Medio/alto.,Alto.,Alto.,3-6 meses,Medio,"Crear casos de proyecto verificables con sector, reto, material, resultado, fotografías, autor y enlaces a soluciones.",3-6 meses,Rastreo público
CON-05,Verificado,Páginas estratégicas localizadas sin contenido principal visible,"Muestras EN, Sobre nosotros FR/NL y FAQ EN muestran cero H1 y contenido principal vacío aunque Shopify contiene traducciones.",https://www.matchwalls.com/en/pages/request-your-sample | https://www.matchwalls.com/fr/pages/a-propos-de-nous | https://www.matchwalls.com/nl/pages/over-ons | https://www.matchwalls.com/en/pages/frequent-questions,"Crítico: páginas indexables sin respuesta a la intención.","Crítico: las IA no reciben contenido factual localizable.","Alto: pérdida de confianza y conversión.",Crítica,Alto,"Corregir plantillas y traducciones de secciones en tema auxiliar; validar móvil/escritorio y publicar solo tras QA.",0-30 días,Render público + Shopify Admin API
CON-06,Parcialmente corregido,FAQ guardada corregida pero plantilla pública fija mantiene afirmaciones no validadas,"Se reescribieron título, cuerpo y metadatos ES/EN/FR/DE/NL sin promesas no verificadas y todas las traducciones figuran vigentes. La web pública continúa mostrando bloques fijos de templates/page.faq.json sobre envío gratuito, plazos, pagos, financiación, garantías y devoluciones. MAIN y staging comparten checksum d515fbda6fcc75f79d06cdba2d7cc0dd.",https://www.matchwalls.com/pages/preguntas-frecuentes,"Crítico: la versión pública contradice el contenido gobernado.","Crítico: las IA recuperan respuestas fijas potencialmente inexactas.","Alto: riesgo legal, comercial y de confianza.",Crítica,Alto,"Sustituir los bloques fijos por contenido localizado y validado en un tema auxiliar; consolidar un único FAQPage y realizar QA antes de publicar.",0-30 días,Render público + Shopify Admin API + lectura de tema
CON-07,Parcialmente corregido,Profesionales guardada corregida pero plantilla pública fija mantiene mensajes no gobernados,"Se reescribieron título, cuerpo y metadatos ES/EN/FR/DE/NL sin descuentos, muestras gratuitas, envío prioritario, cantidades ni respuesta en 24 horas. La URL pública continúa mostrando bloques fijos de templates/page.profesionales.json sobre programa exclusivo, planes y ventajas. MAIN y staging comparten checksum c02c11dc82a2d4ca90c756a5ae81d960.",https://www.matchwalls.com/pages/profesionales,"Alto: el contenido público no coincide con la fuente editorial corregida.","Alto: señales contradictorias para motores de IA.","Alto: mantiene promesas comerciales no gobernadas.",Crítica,Alto,"Localizar y corregir los bloques de la plantilla Profesionales en un tema auxiliar; validar propuesta B2B, móvil y escritorio antes de publicar.",0-30 días,Render público + Shopify Admin API + lectura de tema
CON-08,Verificado,Footer global con errores y enlace estacional obsoleto,"ES muestra 'espacios púbicos', 'FAQ´S', mezcla de idiomas y Black Friday 2024; EN conserva traducciones literales defectuosas.",https://www.matchwalls.com/ | https://www.matchwalls.com/en,"Alto: errores replicados en todo el sitio.","Alto: navegación y señales de entidad deficientes.","Alto: afecta confianza y descubrimiento.",Crítica,Medio,"Editar coordinadamente etiquetas ES/EN/FR/DE/NL conservando destinos; retirar o sustituir Black Friday solo tras validar la colección destino.",0-30 días,Render público + Shopify Admin API
CON-09,Parcialmente corregido,Blog con metadatos genéricos y deuda editorial,"El blog raíz se ha optimizado en ES/EN/FR/DE/NL. Hay 11 artículos publicados; diez sin resumen, un handle con 'transfroma' y un artículo de tendencias 2025 pendiente de actualización.",https://www.matchwalls.com/blogs/inspiracion,"Alto: artículos con señales editoriales incompletas.","Alto: menor citabilidad y frescura.","Medio/alto: desaprovecha tráfico informacional.",Quick win,Medio,"Auditar y reescribir cada artículo por idioma; corregir handles solo con 301 y QA hreflang.",0-90 días,Shopify Admin API
CON-10,Verificado,Plantillas JSON con contenido fijo impiden gobernar y localizar páginas estratégicas,"FAQ y Profesionales usan plantillas de 24.710 y 9.366 bytes con bloques de texto incrustados. Los archivos son idénticos en MAIN y staging y pueden prevalecer sobre el contenido editorial guardado.",https://www.matchwalls.com/pages/preguntas-frecuentes | https://www.matchwalls.com/pages/profesionales,"Crítico: dificulta corregir y mantener contenido por URL e idioma.","Crítico: genera respuestas contradictorias y mezcla de idiomas.","Alto: multiplica riesgo comercial y coste editorial.",Crítica,Alto,"Migrar textos estratégicos a fuentes localizables y gobernadas; preparar cambios en tema auxiliar, revisar app embeds y ejecutar QA completo antes de publicar.",0-30 días,Shopify Admin API + lectura de tema
