area,recurso,idioma,estado_012E,evidencia,riesgo,recomendacion
Página España actual,papel-pintado-espana,ES,"VERIFICADO PERO MEJORABLE","Admin y público: publicada, 200, canonical propio, hreflang; body actual es listado de envíos gratis a provincias.","Medio","Reformular como landing país pilar; no mantener el listado largo como contenido principal."
Página Francia actual,papel-pintado-francia,ES/FR,"VERIFICADO PERO MEJORABLE","Admin y público: publicada, 200, canonical propio, hreflang; base ES y FR localizada existen; body actual es envío gratis/listado de ciudades.","Medio","Reformular como landing país pilar; revisar copy FR nativo antes de publicar."
Borrador España 012D,papel-pintado-espana,ES,"VERIFICADO PERO MEJORABLE","Borrador cubre B2C, B2B, materiales, muestras, ciudades, FAQ y CTA.","Bajo/Medio","Usarlo como base; añadir enlaces reales; evitar Alicante hasta resolver noindex; validar claims de personalización/materiales."
Borrador Francia 012D,papel-pintado-francia / fr localized,FR,"VERIFICADO PERO MEJORABLE","Borrador FR es mejor que el contenido actual y evita promesas logísticas fuertes.","Medio","Revisión francesa nativa obligatoria; usar handle localizado existente papier-peint-en-france salvo decisión formal de cambio."
Handle FR propuesto,papier-peint-france,FR,"INCORRECTO","https://www.matchwalls.com/fr/pages/papier-peint-france devuelve 404; el handle real es /fr/pages/papier-peint-en-france.","Alto","No publicar ni enlazar papier-peint-france; no cambiar handles sin mapa 301 aprobado."
Geos estratégicas ES enlazables,"Barcelona, Madrid, Valencia, Málaga, Sevilla, Girona, Tarragona, Bizkaia, Gipuzkoa, Granada, Murcia, Zaragoza",ES,"VERIFICADO Y CORRECTO","Lectura pública: 200, canonical propio, sin robots noindex.","Bajo","Pueden usarse como enlaces internos si se decide mantener estrategia geo."
Alicante como geo protegida,comprar-papel-pintado-alicante,ES,"REQUIERE DECISION HUMANA","Lectura pública: 200 con robots noindex,nofollow; contradice handoff 012B que la lista como protegida.","Alto","No enlazar Alicante como estratégica hasta decidir si se mantiene noindex o se reactiva con evidencia."
Geos piloto noindex,"Álava, Albacete, Almería, Badajoz, Burgos",ES,"CORREGIDO Y VERIFICADO","Lectura pública: 200 con robots noindex,nofollow; coherente con piloto 011E1.","Medio","No usarlas como enlaces prominentes desde landing país."
Geos FR estratégicas,"Paris, Lyon, Toulouse, Marsella, Burdeos, Nantes, Lille, Niza, Montpellier, Estrasburgo",FR/ES handles,"VERIFICADO Y CORRECTO","Lectura pública base: 200, canonical propio, sin robots noindex.","Bajo/Medio","Pueden enlazarse; preferir URLs localizadas FR si se publican en contenido francés."
Enlaces internos base,"/pages/muestras, /pages/profesionales, /pages/crea-tu-mural, /pages/crea-tu-papel-pintado-rollo, /collections/murales, categorías y guías",ES,"VERIFICADO Y CORRECTO","Lectura pública: 200, canonical propio, sin noindex en enlaces auditados.","Bajo","Usarlos como enlaces de CTA y apoyo editorial."
Traducciones actuales EN/DE/NL,páginas país existentes,EN/DE/NL,"INCORRECTO","Admin: traducciones antiguas con errores automáticos como Basin, Hübsch, Leuk, etc.; contenido sigue siendo listado de envíos.","Alto","No publicar cambios ES/FR sin plan posterior de traducción ES/EN/FR/DE/NL mediante Shopify Translate/LangShop."
Sitemap actual,sitemap pages,ES/FR,"NO ACCESIBLE","Intento de lectura de sitemap público terminó en timeout SSL local durante 012E.","Bajo/Medio","Revalidar sitemap en lote de escritura o prepublicación; no usar este punto como fallo web."
Claims comerciales,"envío gratis, plazos, devoluciones, materiales, personalización",ES/FR,"REQUIERE DECISION HUMANA","Contenido actual promete envío gratis; borrador evita plazos concretos pero mantiene personalización/materiales.","Medio","Validar con negocio antes de publicar; mantener copy prudente y factual."
Conclusión 012E,España y Francia,ES/FR,"VERIFICADO PERO MEJORABLE","Borradores útiles, estado actual pobre, pero hay bloqueos de handle FR, Alicante noindex y traducciones multilingües.","Medio/Alto","No pasar todavía a escritura Shopify; preparar lote editorial final sin publicación."
