fecha,lote,capa,recurso,idioma,estado,evidencia,accion_recomendada
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,Shopify tienda,matchwalls.myshopify.com,global,VERIFICADO Y CORRECTO,"Dominio principal https://www.matchwalls.com; SSL activo; tema MAIN SEO schema hotfix - 2026-06-15",Mantener como fuente de verdad tecnica
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,Shopify tema,gid://shopify/OnlineStoreTheme/178383749496,global,VERIFICADO Y CORRECTO,"Tema MAIN processing:false processingFailed:false",No tocar tema en este lote
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,Shopify idiomas,ES EN FR DE NL,global,VERIFICADO Y CORRECTO,"Locales prioritarios publicados; ES primario",Usar para QA publico y auditoria i18n
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,LangShop App Embed,MAIN theme,global,VERIFICADO Y CORRECTO,"Bloque LangShop SDK activo disabled:false",No modificar sin lote especifico
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,LangShop configuracion interna,LangShop app,global,NO ACCESIBLE,"Shopify Admin no expone reglas glosario cola auto-sync ni configuracion interna",Revisar desde UI LangShop o API oficial si se obtiene token
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,Footer publico,https://www.matchwalls.com/,ES,CORREGIDO Y VERIFICADO,"Sin Tarjeta regalo; sin Black Friday; sin Envios internacionales en footer publico",Mantener
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,Footer publico,https://www.matchwalls.com/en/,EN,CORREGIDO Y VERIFICADO,"Sin Gift card; sin Black Friday; sin International shipping en footer publico",Mantener
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,Footer publico,https://www.matchwalls.com/fr/,FR,CORREGIDO Y VERIFICADO,"Sin Carte-cadeau; sin Black Friday; sin envio internacional como enlace footer",Mantener
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,Footer publico,https://www.matchwalls.com/de/,DE,CORREGIDO Y VERIFICADO,"Sin Geschenkkarte; sin Black Friday; sin envio internacional como enlace footer",Mantener
2026-06-17,MW-LANGSHOP-WEB-RECONCILIATION-005,Footer publico,https://www.matchwalls.com/nl/,NL,CORREGIDO Y VERIFICADO,"Sin Cadeaubon; sin Black Friday; sin envio internacional como enlace footer",Mantener
