section,field_id,field_name,value_to_fill,source_to_provide,public_use_allowed,internal_use_only,markets_languages,valid_from_or_updated_at,status_if_blank,schema_fields_unlocked_if_validated,notes
Legal,LEGAL-001,"Razón social exacta","","Documento legal o confirmación escrita de Daniel","","","Global","",REQUIERE DECISION HUMANA,"Organization.legalName","No usar hasta validar"
Legal,LEGAL-002,"CIF/NIF/VAT/tax ID","","Documento fiscal o confirmación escrita","","","Global","",REQUIERE DECISION HUMANA,"Organization.taxID; Organization.vatID","Indicar si es publicable"
Legal,LEGAL-003,"Dirección legal","","Documento legal o política pública vigente","","","Global","",REQUIERE DECISION HUMANA,"Organization.address; PostalAddress","Indicar si es publicable"
Legal,LEGAL-004,"País legal de operación","","Documento legal o confirmación escrita","","","Global","",REQUIERE DECISION HUMANA,"Organization.address.addressCountry","No inferir desde dominio o idioma"
Contacto,CONTACT-001,"Email oficial atención cliente","","Confirmación escrita o fuente pública estable","","","ES|EN|FR|DE|NL","",REQUIERE DECISION HUMANA,"ContactPoint.email","help@matchwalls.com está declarado pero no verificado"
Contacto,CONTACT-002,"Teléfono oficial público","","Confirmación escrita","","","ES|EN|FR|DE|NL","",REQUIERE DECISION HUMANA,"ContactPoint.telephone","Dejar vacío si no hay teléfono público"
Contacto,CONTACT-003,"Idiomas de atención reales","","Confirmación escrita","","","ES|EN|FR|DE|NL","",REQUIERE DECISION HUMANA,"ContactPoint.availableLanguage","No asumir todos los idiomas por tener traducción"
Contacto,CONTACT-004,"Horario de atención si publicable","","Confirmación escrita o política pública","","","ES|EN|FR|DE|NL","",REQUIERE DECISION HUMANA,"openingHoursSpecification si aplica","No usar si no es estable"
Perfiles,SAMEAS-001,"Instagram oficial","","URL oficial","","","Global","",REQUIERE DECISION HUMANA,"Organization.sameAs","Solo perfil oficial"
Perfiles,SAMEAS-002,"Pinterest oficial","","URL oficial","","","Global","",REQUIERE DECISION HUMANA,"Organization.sameAs","Solo perfil oficial"
Perfiles,SAMEAS-003,"TikTok oficial","","URL oficial","","","Global","",REQUIERE DECISION HUMANA,"Organization.sameAs","Solo perfil oficial"
Perfiles,SAMEAS-004,"YouTube oficial","","URL oficial","","","Global","",REQUIERE DECISION HUMANA,"Organization.sameAs","Solo perfil oficial"
Perfiles,SAMEAS-005,"LinkedIn oficial","","URL oficial","","","Global","",REQUIERE DECISION HUMANA,"Organization.sameAs","Solo perfil oficial"
Perfiles,SAMEAS-006,"Facebook oficial","","URL oficial","","","Global","",REQUIERE DECISION HUMANA,"Organization.sameAs","Solo perfil oficial"
Perfiles,SAMEAS-007,"Trustpilot oficial","","URL oficial y permiso de uso de rating si aplica","","","Global","",REQUIERE DECISION HUMANA,"sameAs; aggregateRating solo si permitido","No usar rating sin evidencia actual"
Historia,HISTORY-001,"Claim histórico 'desde 1961'","","Documento corporativo/legal que lo justifique","","","Global","",REQUIERE DECISION HUMANA,"Organization.foundingDate si aplica","Indicar si corresponde a MatchWalls o empresa/grupo"
Historia,HISTORY-002,"Frase histórica aprobada","","Texto aprobado por Daniel/marca/legal","","","ES|EN|FR|DE|NL","",REQUIERE DECISION HUMANA,"Organization.description","No usar si es ambiguo"
Ubicación,LOCATION-001,"Relación real con Barcelona","","Confirmación escrita: sede/estudio/origen creativo/almacén/claim de marca","","","Global","",REQUIERE DECISION HUMANA,"description; address solo si legal","No convertir claim creativo en dirección"
Ubicación,LOCATION-002,"Fórmula publicable de Barcelona","","Frase exacta aprobada","","","ES|EN|FR|DE|NL","",REQUIERE DECISION HUMANA,"Organization.description","Ejemplo: 'estudio creativo en...' solo si cierto"
Fabricación,PROD-001,"Modelo real de producción","","Descripción aprobada: fabrica/diseña/produce bajo pedido/proveedor externo","","","Global","",REQUIERE DECISION HUMANA,"manufacturer; description; Product.brand","No usar 'fabricante' sin evidencia"
Fabricación,PROD-002,"País/lugar de producción publicable","","Confirmación/documento","","","Global","",REQUIERE DECISION HUMANA,"Product.countryOfOrigin si aplica","No inferir"
Materiales,MAT-001,"Lista oficial de materiales","","Ficha técnica o catálogo aprobado","","","ES|EN|FR|DE|NL","",REQUIERE DECISION HUMANA,"Product.material","Validar nombres por idioma"
Materiales,MAT-002,"Certificaciones materiales","","PDF/certificado/ficha técnica","","","Global","",REQUIERE DECISION HUMANA,"hasCertification","No usar eco/seguridad sin prueba"
Materiales,MAT-003,"Claims técnicos permitidos","","Ficha técnica: lavable/ignífugo/PVC-free/FSC/tintas/etc.","","","ES|EN|FR|DE|NL","",REQUIERE DECISION HUMANA,"Product.additionalProperty","Solo claims demostrables"
Políticas,POLICY-001,"Envío gratis: condiciones reales","","Política vigente o confirmación escrita","","","Por mercado","",REQUIERE DECISION HUMANA,"OfferShippingDetails si aplica","No usar por defecto"
Políticas,POLICY-002,"Plazos de producción","","Política vigente o confirmación escrita","","","Por mercado","",REQUIERE DECISION HUMANA,"shippingDetails solo si validado","No usar cifras antiguas"
Políticas,POLICY-003,"Plazos de entrega","","Política vigente o confirmación escrita","","","Por mercado","",REQUIERE DECISION HUMANA,"OfferShippingDetails","No usar cifras antiguas"
Políticas,POLICY-004,"Devoluciones","","Política vigente o confirmación escrita","","","Por mercado","",REQUIERE DECISION HUMANA,"MerchantReturnPolicy","Requiere precisión legal"
Políticas,POLICY-005,"Garantías","","Política vigente o confirmación escrita","","","Por mercado","",REQUIERE DECISION HUMANA,"warrantyPromise si aplica","No usar sin legal"
Políticas,POLICY-006,"Política de muestras","","Política vigente o confirmación escrita","","","ES|EN|FR|DE|NL","",REQUIERE DECISION HUMANA,"FAQPage; WebPage","Alinear con noindex muestras"
Autoridad,AUTHOR-001,"Responsable editorial","","Nombre/cargo/bio/permiso","","","ES|EN|FR|DE|NL","",REQUIERE DECISION HUMANA,"Article.author; reviewedBy","No inventar autores"
Autoridad,AUTHOR-002,"Expertos o revisores técnicos","","Nombre/cargo/bio/permiso","","","ES|EN|FR|DE|NL","",REQUIERE DECISION HUMANA,"Article.reviewedBy","Solo si hay persona real"
Activo,ASSET-001,"Logo oficial URL estable","","URL CDN/asset oficial validado","","","Global","",REQUIERE DECISION HUMANA,"Organization.logo","No usar asset no confirmado"

