opportunity_id,cluster,status,priority,confidence,evidence_level,keyword_rows,keyword_impressions,keyword_clicks,top_keyword_evidence,page_rows,page_impressions,page_clicks,top_page_evidence,country_context,device_context,recommended_next_lote,recommended_action_type,risk_note,prohibited_without_approval,rationale
BING-GEO-OPP-001,ES colecciones producto/color/patr?n/espacio,VERIFICADO PERO MEJORABLE,ALTA,ALTA,"Hecho directo por cluster: keywords y URLs comparten intenci?n, pero no uni?n query?URL.",47,75,1,papel pasillo plus (8/0) | papel pintado negro (6/0) | papel pintado de tartán beige (4/0) | papel pintado con diseño geométrico (4/0) | papel pintado geométrico (3/0) | papel de pared con patrón de gingham rosa (2/0) | azul marejada (2/0) | papel de pared estética negra y blanco (2/0),16,61,2,https://www.matchwalls.com/collections/murales-para-el-pasillo (11/0) | https://www.matchwalls.com/collections/murales-estilo-geometrico (10/1) | https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro (10/0) | https://www.matchwalls.com/collections/papeles-pintados-color-negro (7/0) | https://www.matchwalls.com/collections/papeles-pintados-color-verde (5/0) | https://www.matchwalls.com/collections/murales-para-habitaciones-de-adolescentes (3/0) | https://www.matchwalls.com/collections/papeles-pintados-color-lila (3/0) | https://www.matchwalls.com/collections/murales-estilo-paisajes (3/0),ww 456/1 (bucket no accionable); ES 112/1; FR 68/0; US 38/0; DE 11/0; GB 4/0; BR 40/1 STANDBY; IT 12/0 STANDBY,"Desktop 713/3 (95.19% impresiones, 100% clics); Mobile 36/0 (4.81%, posici?n media 17.9)",MW-BING-SEO-GEO-PRIORITY-URL-PUBLIC-QA-013J6,QA p?blico read-only de title/meta/H1/canonical/hreflang/schema/enlazado,"Alta oportunidad, pero se debe validar URL p?blica antes de tocar contenidos.","Cambiar handles, contenido, noindex, canonical, redirecciones o Liquid.",Es el cluster con m?s se?al combinada en Bing: producto/color/patr?n y colecciones ES con clics reales.
BING-GEO-OPP-002,Geo/local existente ES/EN/FR,VERIFICADO PERO MEJORABLE,MEDIA,MEDIA,Hecho directo por dimensi?n; inferencia de cluster geo.,8,16,0,wall decoration interior salamanca (5/0) | wall decoration interior tarragona (4/0) | papelillo paris (2/0) | papel pintado huelva (1/0) | wall decoration interior la rioja (1/0) | malaga wallpaper shops (1/0) | papel tapiz importado marsella (1/0) | paris wall and door (1/0),8,17,0,https://www.matchwalls.com/en/collections/salamanca-wallpaper (5/0) | https://www.matchwalls.com/en/collections/tarragona-wallpaper (4/0) | https://www.matchwalls.com/collections/comprar-papel-pintado-paris (3/0) | https://www.matchwalls.com/collections/comprar-papel-pintado-huelva (1/0) | https://www.matchwalls.com/collections/comprar-papel-pintado-marsella (1/0) | https://www.matchwalls.com/en/collections/malaga-wallpaper (1/0) | https://www.matchwalls.com/en/collections/la-rioja-wallpaper (1/0) | https://www.matchwalls.com/en/collections/castellon-wallpaper (1/0),ww 456/1 (bucket no accionable); ES 112/1; FR 68/0; US 38/0; DE 11/0; GB 4/0; BR 40/1 STANDBY; IT 12/0 STANDBY,"Desktop 713/3 (95.19% impresiones, 100% clics); Mobile 36/0 (4.81%, posici?n media 17.9)",MW-BING-SEO-GEO-GEO-LANDING-PUBLIC-QA-013J7,QA p?blico read-only de landings geo detectadas,No crear landings nuevas sin GSC/estrategia; revisar primero existentes.,"Crear p?ginas geogr?ficas nuevas, cambiar handles o aplicar noindex masivo.","Bing muestra se?ales geo en queries y p?ginas, pero sin clics y sin uni?n directa query?URL."
BING-GEO-OPP-003,Medici?n/instalaci?n y contenido citable,VERIFICADO PERO MEJORABLE,MEDIA,MEDIA,Hecho directo por intenci?n informacional.,11,11,0,imagen de como es el ancho y el alto de una pared (1/0) | como es el ancho y el alto de una pared (1/0) | caunto tiene de ancho una pared (1/0) | altod e una pared (1/0) | instalación de papel con efecto de tejes (1/0) | diferencia largo y ancho de unapared (1/0) | alto y ancho de un mural (1/0) | para proteger una pared pintada es mejor un papael electrestatico oadhesivo (1/0),2,8,0,https://www.matchwalls.com/pages/medidas-paredes (6/0) | https://www.matchwalls.com/blogs/inspiracion/aprende-a-empapelar-paredes-y-techos-con-calidades-non-woven-vinilicas-y-peel-and-stick (2/0),ww 456/1 (bucket no accionable); ES 112/1; FR 68/0; US 38/0; DE 11/0; GB 4/0; BR 40/1 STANDBY; IT 12/0 STANDBY,"Desktop 713/3 (95.19% impresiones, 100% clics); Mobile 36/0 (4.81%, posici?n media 17.9)",MW-BING-SEO-GEO-MEASUREMENT-CONTENT-QA-013J8,QA read-only y propuesta editorial,"Puede alimentar gu?as/calculadoras, pero primero auditar URLs existentes.",Editar p?ginas o crear gu?as sin revisi?n de intenci?n y duplicaci?n.,Las consultas de medici?n e instalaci?n aparecen tanto en keywords como en p?ginas; buen candidato para AEO/GEO.
BING-GEO-OPP-004,Mural personalizado / proyecto,VERIFICADO PERO MEJORABLE,MEDIA,MEDIA,Hecho parcial; parte de la se?al total est? en PT/IT y queda fuera.,5,7,0,fresque avec photo (3/0) | mural en hoja tamaño oficio (1/0) | mural para un pasadiso (1/0) | crea murales (1/0) | mural personalizado (1/0),2,4,0,https://www.matchwalls.com/fr/pages/creez-votre-propre-murale (3/0) | https://www.matchwalls.com/en/pages/all-about-our-murals (1/0),ww 456/1 (bucket no accionable); ES 112/1; FR 68/0; US 38/0; DE 11/0; GB 4/0; BR 40/1 STANDBY; IT 12/0 STANDBY,"Desktop 713/3 (95.19% impresiones, 100% clics); Mobile 36/0 (4.81%, posici?n media 17.9)",MW-BING-SEO-GEO-CUSTOM-MURAL-PUBLIC-QA-013J9,QA read-only de p?ginas de mural personalizado prioritarias,No mezclar PT/IT; validar solo ES/EN/FR/DE/NL prioritarios.,"Editar LangShop, traducciones, handles o claims log?sticos.","Hay inter?s en personalizaci?n y proyectos, ?til para conversi?n y GEO, pero requiere separaci?n por idioma."
BING-GEO-OPP-005,Productos individuales visibles,VERIFICADO PERO MEJORABLE,MEDIA,MEDIA,Hecho directo de p?ginas; sin keywords unidas.,0,0,0,,14,27,0,https://www.matchwalls.com/products/gingham-charm-rosa (7/0) | https://www.matchwalls.com/products/gingham-charm-verde (5/0) | https://www.matchwalls.com/products/marejada-azul (3/0) | https://www.matchwalls.com/products/polka-dot-delight-rosa (2/0) | https://www.matchwalls.com/products/ondas-suaves-azul (1/0) | https://www.matchwalls.com/products/tartan-contemporaneo-beige (1/0) | https://www.matchwalls.com/en/products/verdant-zenith-gray-3 (1/0) | https://www.matchwalls.com/products/tartan-contemporaneo-amarillo (1/0),ww 456/1 (bucket no accionable); ES 112/1; FR 68/0; US 38/0; DE 11/0; GB 4/0; BR 40/1 STANDBY; IT 12/0 STANDBY,"Desktop 713/3 (95.19% impresiones, 100% clics); Mobile 36/0 (4.81%, posici?n media 17.9)",MW-BING-SEO-GEO-PRODUCT-PUBLIC-QA-013J10,QA read-only de productos con impresiones,Productos visibles no tienen clics; revisar sin tocar inventario/precios.,"Cambiar precios, variantes, inventario, GTIN, im?genes o feeds.","Bing muestra productos espec?ficos; antes de optimizar hay que validar schema Product/Offer, canonicals y UX."
BING-GEO-OPP-006,Marca typo machwalls,VERIFICADO PERO MEJORABLE,BAJA,ALTA,Hecho directo de keyword.,1,2,1,machwalls (2/1),0,0,0,,ww 456/1 (bucket no accionable); ES 112/1; FR 68/0; US 38/0; DE 11/0; GB 4/0; BR 40/1 STANDBY; IT 12/0 STANDBY,"Desktop 713/3 (95.19% impresiones, 100% clics); Mobile 36/0 (4.81%, posici?n media 17.9)",MW-BING-BRAND-TYPO-MONITOR-013J11,Monitorizaci?n read-only,No crear contenido para typo; solo reforzar marca general.,Crear landing de typo o cambiar marca.,Hay 1 clic para typo de marca; oportunidad defensiva menor.
BING-GEO-OPP-007,Mobile d?bil en Bing,VERIFICADO PERO MEJORABLE,MEDIA,ALTA,Hecho directo de Device; no unido a URL concreta.,0,0,0,,0,0,0,,ww 456/1 (bucket no accionable); ES 112/1; FR 68/0; US 38/0; DE 11/0; GB 4/0; BR 40/1 STANDBY; IT 12/0 STANDBY,"Desktop 713/3 (95.19% impresiones, 100% clics); Mobile 36/0 (4.81%, posici?n media 17.9)",MW-BING-SEO-GEO-MOBILE-DESKTOP-CWV-CHECK-013J12,QA t?cnico read-only desktop/mobile,No concluir que mobile no importa; muestra peque?a.,Cambiar CSS/theme hasta resolver ticket Shopify infra y QA.,"Desktop domina Bing; mobile tiene baja visibilidad y peor posici?n, ?til para seguimiento t?cnico."
BING-GEO-OPP-008,PT/IT/BR se?ales fuera de prioridad,STANDBY,STANDBY,ALTA,"Hecho directo: hay datos, pero fuera de alcance autorizado.",11,15,1,"papel de parede lilás (3/0) | mural com nome da equipe e foto com tnt e crepon (2/0) | site para fazer mural (2/0) | onde personaliza um mural logistico (1/1) | carta da parati tropicale fotowall (1/0) | mural produção parede, (1/0) | immagine propri nomi formare murales digitale (1/0) | mural para ser impressso (1/0)",7,19,1,https://www.matchwalls.com/pt/pages/crie-seu-proprio-mural (11/1) | https://www.matchwalls.com/it/pages/crea-il-tuo-murale (2/0) | https://www.matchwalls.com/pt/collections/lilas-pintou-papeis-matchwallswallpapers (2/0) | https://www.matchwalls.com/it/products/beige-murale-serenita-tropicale (1/0) | https://www.matchwalls.com/pt/collections/peel-stick-auto-adesivo-papel-de-parede (1/0) | https://www.matchwalls.com/pt/collections/estrutura-de-murais-matchwallsmurais (1/0) | https://www.matchwalls.com/fr/collections/peintures-murales-botaniques-matchwallsmurals (1/0),ww 456/1 (bucket no accionable); ES 112/1; FR 68/0; US 38/0; DE 11/0; GB 4/0; BR 40/1 STANDBY; IT 12/0 STANDBY,"Desktop 713/3 (95.19% impresiones, 100% clics); Mobile 36/0 (4.81%, posici?n media 17.9)",Ninguno hasta autorizaci?n expresa de Fase 2,No accionar,Fuera de idiomas prioritarios; riesgo de dispersi?n.,"Editar PT/IT, crear contenido, traducir, cambiar handles o noindex sin lote espec?fico.","Existen se?ales PT/IT/BR, incluso clic, pero la estrategia actual prioriza ES/EN/FR/DE/NL."
BING-GEO-OPP-009,Legacy matchwallsmurals/matchwallsmurais,STANDBY,STANDBY,ALTA,Hecho directo por URL.,0,0,0,,2,2,0,https://www.matchwalls.com/pt/collections/estrutura-de-murais-matchwallsmurais (1/0) | https://www.matchwalls.com/fr/collections/peintures-murales-botaniques-matchwallsmurals (1/0),ww 456/1 (bucket no accionable); ES 112/1; FR 68/0; US 38/0; DE 11/0; GB 4/0; BR 40/1 STANDBY; IT 12/0 STANDBY,"Desktop 713/3 (95.19% impresiones, 100% clics); Mobile 36/0 (4.81%, posici?n media 17.9)",Ninguno hasta decisi?n expresa legacy,No accionar,Instrucci?n permanente: handles matchwallsmurals en STANDBY.,"Modificar handles, redirecciones, noindex o contenido legacy.",Aparecen URLs legacy con baja se?al; se congelan hasta decisi?n humana.
BING-GEO-OPP-010,USA/UK/DE mercados estrat?gicos incipientes,VERIFICADO PERO MEJORABLE,BAJA,MEDIA,Hecho directo por Country; no unido a URLs/queries.,0,0,0,,0,0,0,,ww 456/1 (bucket no accionable); ES 112/1; FR 68/0; US 38/0; DE 11/0; GB 4/0; BR 40/1 STANDBY; IT 12/0 STANDBY,"Desktop 713/3 (95.19% impresiones, 100% clics); Mobile 36/0 (4.81%, posici?n media 17.9)",MW-BING-SEO-GEO-EN-DE-MARKET-SIGNAL-MONITOR-013J13,Monitorizaci?n read-only,No preparar landings USA/UK/DE por estos datos solos.,Crear landings nuevas o claims log?sticos.,"US, GB y DE aparecen, pero sin suficientes datos para escritura."
