lote,fecha,idioma,index,title,href,issue,estado,recomendacion_sin_handle
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","es","16","Papel Pintado Black Friday","/collections/papel-pintado-black-friday","VISIBLE_BLACK_FRIDAY_REVIEW","REQUIERE DECISION HUMANA","Decidir si retirar del hub/listado evergreen o reactivar como campaña; no tocar URL sin lote propio."
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","9","Basin Wallpaper","/en/collections/basin-wallpaper","VISIBLE_TOPONYM_TRANSLATED_INCORRECT","INCORRECTO","Corregir texto visible a Cuenca Wallpaper si se mantiene la colección; handle queda STANDBY."
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","en","13","Black Friday Wallpaper","/en/collections/wallpapers-black-friday","VISIBLE_BLACK_FRIDAY_REVIEW","REQUIERE DECISION HUMANA","Decidir si retirar del hub/listado evergreen o reactivar como campaña; no tocar URL sin lote propio."
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","fr","4","Papier Peint Alava","/fr/collections/acheter-papier-peint-alava","FR_PROPER_NAME_ACCENT_REVIEW","VERIFICADO PERO MEJORABLE","Preparar copy map de nombres propios con acentos coherentes; no tocar handle."
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","fr","7","Papier Peint Almeria","/fr/collections/acheter-papier-peint-almeria","FR_PROPER_NAME_ACCENT_REVIEW","VERIFICADO PERO MEJORABLE","Preparar copy map de nombres propios con acentos coherentes; no tocar handle."
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","fr","11","Papier Peint Avila","/fr/collections/acheter-papier-peint-avila","FR_PROPER_NAME_ACCENT_REVIEW","VERIFICADO PERO MEJORABLE","Preparar copy map de nombres propios con acentos coherentes; no tocar handle."
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","fr","16","Papier Peint Black Friday","/fr/collections/papiers-peints-black-friday","VISIBLE_BLACK_FRIDAY_REVIEW","REQUIERE DECISION HUMANA","Decidir si retirar del hub/listado evergreen o reactivar como campaña; no tocar URL sin lote propio."
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","fr","41","Papier Peint Jaen","/fr/collections/acheter-papier-peint-jaen","FR_PROPER_NAME_ACCENT_REVIEW","VERIFICADO PERO MEJORABLE","Preparar copy map de nombres propios con acentos coherentes; no tocar handle."
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","de","9","Tapete 3D","/de/collections/wandmalereistruktur-matchwallsmurals","DE_COPY_NATURALNESS_REVIEW","VERIFICADO PERO MEJORABLE","Preparar copy map DE más natural; no tocar handle."
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","de","18","Tapete Black Friday","/de/collections/schwarzer-freitag-wallpaper","VISIBLE_BLACK_FRIDAY_REVIEW","REQUIERE DECISION HUMANA","Decidir si retirar del hub/listado evergreen o reactivar como campaña; no tocar URL sin lote propio."
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","de","31","Tapete Gold","/de/collections/gold-bemalte-papiere-matchwallswallpa","DE_COPY_NATURALNESS_REVIEW","VERIFICADO PERO MEJORABLE","Preparar copy map DE más natural; no tocar handle."
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","de","37","Tapete Japanisch","/de/collections/japanische-wandmalereien-matchwallsmurals","DE_COPY_NATURALNESS_REVIEW","VERIFICADO PERO MEJORABLE","Preparar copy map DE más natural; no tocar handle."
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","nl","3","Behang 3D","/nl/collections/muurschilderingen-structuur-matchwallsmurals","NL_COPY_NATURALNESS_REVIEW","VERIFICADO PERO MEJORABLE","Preparar copy map NL más natural; no tocar handle."
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","nl","12","Behang Black Friday","/nl/collections/black-friday-wallpaper","VISIBLE_BLACK_FRIDAY_REVIEW","REQUIERE DECISION HUMANA","Decidir si retirar del hub/listado evergreen o reactivar como campaña; no tocar URL sin lote propio."
"MW-COLLECTIONS-I18N-CARD-TITLES-DIAG-013E14","2026-07-05","nl","45","Geometrische Behangstijlen","/nl/collections/geometrische-muurschilderingen-matchwallsmurs","NL_COPY_NATURALNESS_REVIEW","VERIFICADO PERO MEJORABLE","Preparar copy map NL más natural; no tocar handle."
