source,status,evidence,meaning,feasibility,risk,next_action
"Public storefront theme","VERIFICADO Y CORRECTO","Shopify.theme id 178399019384 role main schema Impact 5.1.0 on ES/EN/FR/DE/NL collections root","The live storefront uses MAIN theme 178399019384","Useful for confirming public render source","Does not expose full asset source","Use public evidence plus theme copy cautiously"
"Public section markers","VERIFICADO Y CORRECTO","shopify-section--main-list-collections; collection-list; collection-card; content-over-media","The live hubs render a main-list-collections style section","Strong match with local theme section","Still not a fresh Admin asset read","Treat as public confirmation of section family"
"Local template list-collections.json","VERIFICADO PERO MEJORABLE","sections.main.type=main-list-collections; settings.collections empty","Root collections template uses main-list-collections","Feasible to add section or configure selected collections","Local copy is historical, not fresh pull","Confirm in draft/Admin before writing"
"Local section main-list-collections.liquid","VERIFICADO PERO MEJORABLE","H1 uses collection.general.all_collections; loops section.settings.collections default collections","H1 comes from theme locales and list comes from global collections if setting empty","Feasible to curate list or modify section","Global impact across root collection hubs","Prefer copy architecture then draft implementation"
"Locale keys","VERIFICADO Y CORRECTO","ES Todas las colecciones; EN All collections; FR Toutes les collections; DE Alle Sammlungen; NL Alle collecties","H1 visible is translatable theme text","Small H1 change possible","Insufficient alone and may affect any other key usage","Only include as part of broader proposal"
"Layout theme.liquid","VERIFICADO PERO MEJORABLE","title uses page_title; description uses page_description; canonical uses canonical_url; hreflang via content_for_header","SEO head is global Shopify/theme behavior, not page body","Can be audited separately","Changing layout is high risk","Do not touch in this flow"
"Theme CLI direct asset read","NO ACCESIBLE","shopify command not available locally","Could not pull/compare current MAIN assets in this lot","Would improve certainty if available later","Cannot claim exact current asset equality","Use Admin/theme editor or install CLI only with separate approval if needed"
"Implementation path A curated settings","VERIFICADO PERO MEJORABLE","section has collection_list setting limit 48","Can remove unwanted collections from root hub without Liquid code","Medium-high feasibility","Needs exact collection selection and QA","Consider after copy architecture"
"Implementation path B editorial section","REQUIERE DECISION HUMANA","JSON template can render sections; public template currently has main only","Can add intro/help links before collection list","Feasible if tested in draft","Translation and cache validation risk","Prepare copy map first"
"Implementation path C modify main-list section","REQUIERE DECISION HUMANA","Section controls H1/list/grid","Most powerful solution","Feasible but higher risk","Global template impact","Only after draft proposal and approval"
"Noindex/redirect","INCORRECTO","Policy 013E11 rejected immediate noindex/redirect","Does not improve hub quality","Not preferred","Can remove useful signals and break intent","Keep as fallback only"
