rank_export,url,path,locale_signal,page_type,handle,topic_cluster,impressions,clicks,ctr_export,avg_position,priority,status,risk_note,recommendation
1,https://www.matchwalls.com/collections/murales-para-el-pasillo,/collections/murales-para-el-pasillo,ES,collection,murales-para-el-pasillo,Colecci?n producto/color/patr?n/espacio,11,0,0%,4.09,ALTA,VERIFICADO PERO MEJORABLE,URL con visibilidad superior en Bing; no modificar sin validar intenci?n exacta.,A?adir a cola de optimizaci?n de contenido/enlazado tras QA de URL p?blica.
2,https://www.matchwalls.com/pt/pages/crie-seu-proprio-mural,/pt/pages/crie-seu-proprio-mural,PT,page,crie-seu-proprio-mural,Mural personalizado / informacional,11,1,9.09%,6.55,BAJA,STANDBY,Idioma fuera de alcance prioritario actual; no accionar sin autorizaci?n expresa.,Mantener como se?al para Fase 2 o limpieza defensiva; no crear/editar contenido ahora.
3,https://www.matchwalls.com/collections/papeles-pintados-color-blanco-y-negro,/collections/papeles-pintados-color-blanco-y-negro,ES,collection,papeles-pintados-color-blanco-y-negro,Colecci?n producto/color/patr?n/espacio,10,0,0%,5.6,ALTA,VERIFICADO PERO MEJORABLE,URL con visibilidad superior en Bing; no modificar sin validar intenci?n exacta.,A?adir a cola de optimizaci?n de contenido/enlazado tras QA de URL p?blica.
4,https://www.matchwalls.com/collections/murales-estilo-geometrico,/collections/murales-estilo-geometrico,ES,collection,murales-estilo-geometrico,Colecci?n producto/color/patr?n/espacio,10,1,10%,6.9,ALTA,VERIFICADO PERO MEJORABLE,P?gina con clic real desde Bing; requiere auditor?a de title/meta/canonical/hreflang antes de cambios.,Priorizar QA de la URL y cruzar con keywords/pa?s/dispositivo antes de escribir en Shopify.
5,https://www.matchwalls.com/collections/papeles-pintados-color-negro,/collections/papeles-pintados-color-negro,ES,collection,papeles-pintados-color-negro,Colecci?n producto/color/patr?n/espacio,7,0,0%,8.29,MEDIA,VERIFICADO PERO MEJORABLE,Se?al visible pero muestra peque?a; evitar sobrerreacci?n.,Monitorizar y agrupar por cluster antes de intervenci?n.
6,https://www.matchwalls.com/products/gingham-charm-rosa,/products/gingham-charm-rosa,ES,product,gingham-charm-rosa,Producto,7,0,0%,6.71,MEDIA,VERIFICADO PERO MEJORABLE,Se?al visible pero muestra peque?a; evitar sobrerreacci?n.,Monitorizar y agrupar por cluster antes de intervenci?n.
7,https://www.matchwalls.com/pages/medidas-paredes,/pages/medidas-paredes,ES,page,medidas-paredes,Medici?n/instalaci?n,6,0,0%,4.83,MEDIA,VERIFICADO PERO MEJORABLE,Se?al visible pero muestra peque?a; evitar sobrerreacci?n.,Monitorizar y agrupar por cluster antes de intervenci?n.
8,https://www.matchwalls.com/products/gingham-charm-verde,/products/gingham-charm-verde,ES,product,gingham-charm-verde,Producto,5,0,0%,6.8,MEDIA,VERIFICADO PERO MEJORABLE,Se?al visible pero muestra peque?a; evitar sobrerreacci?n.,Monitorizar y agrupar por cluster antes de intervenci?n.
9,https://www.matchwalls.com/collections/papeles-pintados-color-verde,/collections/papeles-pintados-color-verde,ES,collection,papeles-pintados-color-verde,Colecci?n producto/color/patr?n/espacio,5,0,0%,7.4,MEDIA,VERIFICADO PERO MEJORABLE,Se?al visible pero muestra peque?a; evitar sobrerreacci?n.,Monitorizar y agrupar por cluster antes de intervenci?n.
10,https://www.matchwalls.com/en/collections/salamanca-wallpaper,/en/collections/salamanca-wallpaper,EN,collection,salamanca-wallpaper,Geo/local,5,0,0%,6.0,MEDIA,VERIFICADO PERO MEJORABLE,Se?al visible pero muestra peque?a; evitar sobrerreacci?n.,Monitorizar y agrupar por cluster antes de intervenci?n.
