"id","clasificacion","estado","problema","evidencia","url_afectada","impacto_seo","impacto_geo","impacto_comercial","prioridad","esfuerzo","solucion_recomendada"
"INT-001","Crítica","Verificado","AggregateRating fijo en Organization schema","Tema principal publicado incluye ratingValue 4.5 y reviewCount 13 hardcodeados","https://www.matchwalls.com/ y homes localizadas","Alto: riesgo de datos estructurados no elegibles o engañosos","Alto: reduce confianza factual de motores de IA","Alto: posible pérdida de rich results y confianza","Crítica","Bajo","Validar fuente, entidad, reseñas visibles y elegibilidad; retirar si no es demostrable"
"INT-002","Crítica","Verificado","Contenido de productos dentro de Métodos de pago","Página Shopify Métodos de pago contiene cuerpo que comienza con Nuestros productos","https://www.matchwalls.com/pages/metodos-de-pago","Alto: intención y relevancia incorrectas","Alto: respuestas de IA pueden atribuir información equivocada","Alto: perjudica confianza y conversión","Crítica","Bajo","Restaurar cuerpo correcto desde versión validada y revisar metadatos/enlaces"
"INT-003","Crítica","Verificado","Contenido de métodos de pago dentro de Conoce nuestros productos","Página Shopify Conoce nuestros productos contiene cuerpo y metadatos de métodos de pago","https://www.matchwalls.com/pages/nuestros-productos","Alto: contenido cruzado y señales contradictorias","Alto: entidad y respuesta incorrectas","Alto: usuarios no encuentran información de producto","Crítica","Bajo","Restaurar cuerpo correcto y validar las siete localizaciones"
"INT-004","Crítica","Verificado","Traducciones cruzadas EN/FR/DE/NL en Conoce nuestros productos","Traducciones recientes contienen Payment Methods pero conservan handles de productos","Páginas localizadas equivalentes a /pages/nuestros-productos","Alto: hreflang conecta intenciones distintas","Alto: respuestas multilingües incorrectas","Alto: pérdida de confianza internacional","Crítica","Medio","Corregir matriz completa de traducciones, handles y metadatos"
"INT-005","Crítica","Verificado","Serene Vista IT/PT contiene contenido de Jungle Rhapsody","Traducciones IT/PT desactualizadas con body_html de otro producto","Producto Vista Serena Verde y localizaciones IT/PT","Alto: contenido duplicado y producto incorrecto","Alto: IA puede recomendar el producto equivocado","Alto: riesgo de compra errónea","Crítica","Bajo","Sustituir por traducciones verificadas y revisar toda la familia"
"INT-006","0-30 días","Verificado","Meta description PT de Vista Serena Verde está en italiano","Campo traducido PT-PT utiliza idioma italiano","Localización PT-PT de Vista Serena Verde","Medio: relevancia lingüística deficiente","Medio: reduce comprensión por idioma","Medio","Alta","Bajo","Corregir traducción PT-PT con revisión humana"
"INT-007","0-30 días","Verificado","Imágenes de Vista Serena Verde con alt Unknown/bedroom","Media alt interna no identifica correctamente producto/escena","Producto Vista Serena Verde","Medio: accesibilidad e imágenes débiles","Medio: menos contexto visual para IA","Medio","Alta","Bajo","Definir alt descriptivo localizado o vacío si es decorativo"
"INT-008","0-30 días","Verificado","Errores de nombres y handles en Whispering Woods","Ejemplos: Whispending Woods Green, traducciones forzadas y sufijos -1/-5","Familia Whispering Woods y muestras","Alto: duplicación y baja calidad internacional","Alto: desambiguación de entidad débil","Medio","Alta","Medio","QA familiar completo y mapa de cambios/redirects antes de editar"
"INT-009","0-30 días","Verificado","Inventario negativo en muestra","Muestra de Bosques Susurrantes Azul muestra inventoryQuantity -1","Muestra de Bosques Susurrantes Azul","Bajo","Bajo","Medio: disponibilidad potencialmente incorrecta","Alta","Bajo","Validar lógica de inventario y disponibilidad"
"INT-010","Crítica","Verificado","Gobernanza insuficiente de 1.990 muestras","Muestras con descripciones vacías, contenido cruzado, colores/handles discordantes y duplicados","Catálogo de muestras","Alto: canibalización e index bloat","Alto: IA confunde muestra con producto principal","Alto: errores de compra y operación","Crítica","Alto","Definir modelo maestro, política de indexación y QA automatizado"
"INT-011","0-30 días","Verificado","Vendor inconsistente","Se observan MatchWalls, Matchwalls y Matchwalls.com","Productos y schema Product/Brand","Medio: fragmentación de entidad Brand","Alto: dificulta consolidación de marca","Medio","Alta","Medio","Normalizar vendor tras evaluar implicaciones operativas"
"INT-012","0-30 días","Verificado","Cadenas de redirección","Dos cadenas verificadas en colecciones y páginas de medidas","/collections/papeles-pintados y /pages/como-tomar-medidas-paredes-y-techos-boton","Medio: pérdida de señales y rastreo","Bajo","Medio","Alta","Bajo","Redirigir origen directamente al destino final equivalente"
"INT-013","Crítica","Verificado","Redirecciones entre productos aparentemente no equivalentes","Ejemplos internos conectan productos/muestras de familias diferentes","Varias rutas /products/ dentro de las 635 redirecciones","Alto: relevancia y señales transferidas al destino erróneo","Alto: motores de IA reciben equivalencias falsas","Alto: usuarios llegan a producto incorrecto","Crítica","Alto","Auditar las 635 redirecciones y exigir equivalencia semántica"
"INT-014","31-90 días","Verificado","Colección Todos los Papeles Pintados usa handle murales y reglas ambiguas","Título, handle y reglas internas no expresan claramente la misma intención","https://www.matchwalls.com/collections/murales","Alto: arquitectura e intención confusas","Medio: clasificación de catálogo débil","Alto","Alta","Medio","Redefinir propósito y preparar plan de URL/reglas/contenido sin editar aún"
"INT-015","31-90 días","Hipótesis fuerte","Colecciones por ciudad con riesgo de doorway/thin content","Numerosas colecciones comprar-papel-pintado-{ciudad} comparten el mismo conjunto de 73 productos","Colecciones locales por ciudad","Alto si carecen de valor local único","Alto: baja citabilidad local","Medio","Alta","Alto","Evaluar contenido, demanda, indexación y diferenciación antes de mantener o ampliar"
"INT-016","0-30 días","Verificado","Actualizaciones incompletas en IT y PT","Páginas recientes ES/EN/FR/DE/NL mantienen IT/PT antiguos, vacíos o outdated","Páginas corporativas publicadas","Alto: equivalencia internacional incompleta","Alto: respuestas desiguales por mercado","Alto","Alta","Alto","Completar o excluir conscientemente idiomas mediante matriz de publicación"
"INT-017","0-30 días","Verificado","Páginas publicadas con cuerpo vacío o dependiente de plantilla","Varias páginas internas tienen bodySummary vacío","Páginas HORECA, retail, formularios, profesionales y otras","Medio: contenido rastreable débil","Alto: poco contexto citable","Medio","Alta","Medio","Verificar render público y aportar contenido único cuando proceda"
"INT-018","0-30 días","Verificado","CSS expuesto como contenido","Página Todo sobre nuestros murales comienza con reglas CSS en body","Página Todo sobre nuestros murales","Medio: ruido y calidad textual baja","Medio: extracción factual contaminada","Medio","Alta","Bajo","Mover CSS al recurso correcto y limpiar el cuerpo"
"INT-019","31-90 días","Verificado","Blog sin resúmenes útiles y con HTML bruto","11 artículos recuperados; resúmenes vacíos salvo uno con meta charset","Artículos del blog","Medio: snippets y arquitectura editorial débiles","Alto: menor capacidad de citación","Medio","Media","Medio","Crear resúmenes editoriales y limpiar HTML"
"INT-020","0-30 días","Verificado","Breadcrumb schema de artículos usa blog.title en el artículo","Código del snippet usa blog.title como nombre del tercer elemento","Artículos del blog","Medio: breadcrumb semánticamente incorrecto","Bajo","Bajo","Alta","Bajo","Preparar corrección a article.title y validar antes de desplegar"
"INT-021","0-30 días","Verificado","Página de prueba localizada permaneció pública","Auditoría pública detectó /en/pages/facade-variants/test y /de/pages/facade-variants/test; redirección solo cubre ruta no localizada","Páginas localizadas facade-variants/test","Alto: indexación de pruebas","Medio: contenido irrelevante para IA","Bajo","Alta","Bajo","Retirar/noindex/410 según decisión y cubrir todas las localizaciones"
"INT-022","3-6 meses","Recomendación","Falta control de calidad previo a publicación","Errores recientes cruzan recurso, idioma, handle, metadatos e imágenes","Todo el catálogo y contenidos","Alto: errores escalables","Alto: hechos contradictorios para IA","Alto","Alta","Alto","Implantar validaciones automáticas y aprobación humana por lote"
"INT-001-POST","CrÃ­tica","CORREGIDO Y VERIFICADO","AggregateRating fijo en Organization schema eliminado","El hotfix publicado como MAIN elimina el AggregateRating corporativo fijo. QA post-publicacion: 35 URLs escritorio y 35 movil con 0 AggregateRating corporativo fijo detectado.","https://www.matchwalls.com/ y homes localizadas","Riesgo critico mitigado en el tema publicado; queda pendiente auditoria global de schema y reputacion.","Mejora la confianza factual de motores de IA al retirar una valoracion no demostrada.","Reduce riesgo de rich results no elegibles; pendiente validar fuentes externas reales.","CrÃ­tica","Bajo","Mantener hotfix; no anadir AggregateRating sin resenas visibles, fuente verificable y validacion previa."
"INT-020-POST","0-30 dÃ­as","CORREGIDO Y VERIFICADO","Breadcrumb schema de articulos corregido","El hotfix publicado corrige el tercer breadcrumb para usar el titulo real del articulo. QA post-publicacion en ES/EN/FR/DE/NL sin errores JSON-LD.","Articulos del blog","Riesgo semantico mitigado en el tema publicado.","Bajo","Bajo","Alta","Bajo","Mantener control en futuros cambios de tema y validar Article/Breadcrumb en cada lote."

