lote;area;plataforma_bot;estado_actual;decision_recomendada;clasificacion;fuente_o_evidencia
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;robots;robots.txt;"Accesible 200 OK. User-agent * permite contenido público y bloquea zonas privadas/transaccionales.";"No modificar ahora.";VERIFICADO Y CORRECTO;"Lectura pública https://www.matchwalls.com/robots.txt"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;sitemap;sitemap.xml;"Accesible 200 OK. Bing Webmaster reconoce sitemap."; "Mantener y monitorizar.";VERIFICADO Y CORRECTO;"Lectura pública y Bing Webmaster Tools"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;AI files;llms.txt;"Accesible 200 OK. Contenido de instrucciones UCP/Shopify, no perfil factual SEO."; "No tratar como sustituto SEO/GEO. Diagnosticar mejora posible.";VERIFICADO PERO MEJORABLE;"Lectura pública https://www.matchwalls.com/llms.txt"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;AI files;agents.md;"Accesible 200 OK. Contenido de instrucciones UCP/Shopify, no perfil factual SEO."; "No tratar como sustituto SEO/GEO. Diagnosticar mejora posible.";VERIFICADO PERO MEJORABLE;"Lectura pública https://www.matchwalls.com/agents.md"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Google;Googlebot;"Permitido por User-agent *."; "Mantener permitido.";VERIFICADO Y CORRECTO;"Google AI features / common crawlers"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Google AI;Google-Extended;"Controla usos Gemini/Vertex ajenos a Search; no afecta a inclusión/ranking en Search."; "No bloquear sin decisión humana.";REQUIERE DECISION HUMANA;"Google common crawlers"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Bing/Copilot;Bingbot;"Permitido por User-agent *. Bing Webmaster activo."; "Mantener permitido.";VERIFICADO Y CORRECTO;"Bing Webmaster Tools / Bing guidance"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Bing/Copilot;NOARCHIVE_NOCACHE;"No detectado como cambio global en esta revisión."; "No aplicar globalmente porque puede limitar citas/respuestas.";VERIFICADO Y CORRECTO;"Bing Webmaster Blog"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Yahoo;Yahoo Search;"Yahoo usa Bing Webmaster Tools para envío de sitios."; "Cubierto por Bing; monitorizar.";VERIFICADO Y CORRECTO;"Yahoo Help"
MW-CRAWLERS-SEARCH-AI-POLICY-PROPOSAL-013C-REVIEW;Edge;Edge_Copilot;"No es SEO independiente; depende de Bing/Copilot."; "Cubierto por Bing + compatibilidad técnica.";VERIFICADO Y CORRECTO;"Inferencia desde arquitectura Bing/Copilot y navegador"
