area,estado,evidencia,decision,riesgo,siguiente_accion
Bing Webmaster,VERIFICADO Y CORRECTO,"Propiedad matchwalls.com importada/verificada; sitemap success con 7.8K URLs el 2026-07-04","Bing puede usarse como canal de medición","Bajo","Revisar pestaña IndexNow tras implementar key"
Sitemap Bing,VERIFICADO Y CORRECTO,"https://www.matchwalls.com/sitemap.xml visible y en Bing con Status Success","No reenviar sitemap ahora","Bajo","Mantener monitorización"
robots.txt,VERIFICADO Y CORRECTO,"https://www.matchwalls.com/robots.txt devuelve 200","No tocar robots para IndexNow","Medio si se edita mal","Mantener política 013C"
agents.md / llms.txt,VERIFICADO Y CORRECTO,"Ambos devuelven 200","No forman parte de IndexNow pero ayudan a descubrimiento IA","Bajo","No mezclar con este lote"
IndexNow key root,INCOMPLETO,"https://www.matchwalls.com/indexnow.txt devuelve 404; no hay key publicada","No enviar URLs aún","Alto","Resolver alojamiento root o keyLocation"
Shopify root arbitrary txt,DECLARADO PERO NO VERIFICADO,"Shopify documenta rutas especiales como robots.txt; no hay evidencia de TXT arbitrario root","No asumir viabilidad","Alto","Preguntar/validar con Shopify o probar en draft/controlado si se aprueba"
keyLocation no-root,VERIFICADO PERO MEJORABLE,"IndexNow permite keyLocation, pero la ubicación limita las URLs incluidas","No usar como solución global salvo ruta raíz equivalente","Medio/Alto","Usar solo si cubre todo el host"
App IndexNow Shopify,REQUIERE DECISION HUMANA,"No auditada en este lote","No instalar ni activar sin auditoría","Medio/Alto","Lote de evaluación de app"
Edge/CDN/worker,REQUIERE DECISION HUMANA,"DNS actual apunta a Shopify; no se verificó worker/path proxy activo","Vía técnicamente limpia si existe control real","Alto si se toca DNS/proxy mal","Solo con acceso y lote infra separado"
URLs piloto,REQUIERE DECISION HUMANA,"013D propone 10-20 URLs máximo; 012O sigue pendiente de Shopify Engineering","No preparar envío definitivo hasta resolver key y excluir URLs inestables","Medio","Piloto posterior a key"
Landings España/Francia,STANDBY,"Incidencia 012O de cache/render shard pendiente de Shopify Engineering","No usar como piloto IndexNow todavía","Alto","Esperar respuesta Shopify"
IT/PT,STANDBY,"Fuera de prioridad activa","No enviar salvo autorización expresa","Medio","Mantener fuera"
Muestras noindex,VERIFICADO Y CORRECTO,"Política aprobada: noindex por defecto para muestras confirmadas","Excluir siempre","Alto si se envían","Mantener bloqueo en selector de URLs"
