id,estado_evidencia,problema,evidencia,url_afectada,impacto_seo,impacto_geo,impacto_comercial,prioridad,esfuerzo,solucion_recomendada,horizonte,fuente
CAT-01,Verificado,Muestras publicadas como productos indexables,Se identifican al menos 541 URLs de muestras mediante términos sample/muestra/probe/echantillon/campione/amostra/steekproef.,https://www.matchwalls.com/en/products/blue-classic-grid-sample | https://www.matchwalls.com/products/muestra-abstract-curves-negro,"Alto: canibalización, duplicidad y expansión del índice.",Alto: puede recomendar una muestra como producto principal.,Alto: tráfico aterriza en SKU auxiliar.,Crítica,Alto,"Definir estrategia: noindex de muestras y enlaces de compra desde producto principal, o contenido/canonical diferenciado si deben posicionar.",0-30 días,Sitemap
CAT-02,Verificado,Sitemap sobredimensionado por localización del catálogo,"Hay 971 URLs de producto por idioma, 6.797 URLs de producto localizadas en total, frente a ~2.600 SKUs declarados.",https://www.matchwalls.com/sitemap.xml,Medio/alto: calidad media del índice depende de cada traducción.,Alto: multiplica inconsistencias para IA.,Medio,31-90 días,Alto,Clasificar URLs por producto principal/muestra/variante; priorizar indexación de páginas con demanda y contenido único.,31-90 días,Sitemap
CAT-03,Verificado,Metadatos duplicados en muestras alemanas,Blue Classic Grid Probe y Green Classic Grid Probe comparten meta description alemana en la muestra rastreada.,https://www.matchwalls.com/de/products/blue-classic-grid-probe | https://www.matchwalls.com/de/products/green-classic-grid-probe,Medio.,Medio.,Bajo/medio.,Quick win,Bajo,"Aplicar plantilla de metadata que incluya familia, color, tipo de SKU y propuesta única; evitar indexar muestras si no aportan valor.",0-30 días,Rastreo público
CAT-04,Verificado,Nombres y handles con errores ortográficos de producto,"Ejemplos propagados: enchathed, noridcas, recoto y suctan. También se observa 'Marròn' en tarjeta de producto española.",https://www.matchwalls.com/en/products/enchathed-garden-symphony-black | https://www.matchwalls.com/,Alto.,Alto.,Alto: afecta percepción y búsqueda.,Crítica,Alto,Crear QA editorial centralizado por familia/atributo y un flujo de corrección con redirecciones y control de hreflang.,0-30 días,Sitemap + home pública
CAT-05,Verificado,"Product schema presente en producto, pero cobertura observada limitada por rate limiting","116 páginas de producto válidas contienen Product, Offer, Brand, ImageObject y QuantitativeValue.",https://www.matchwalls.com/products/whispering-woods-azul,Positivo.,Positivo.,Alto.,Mantener,Medio,Validar una muestra representativa por idioma en Rich Results Test y Merchant Center; añadir identificadores coherentes (SKU/GTIN/MPN cuando proceda).,31-90 días,Rastreo público
CAT-06,CORREGIDO Y VERIFICADO,"Barcodes internos ya no se publican como GTIN falsos en el schema del tema MAIN","En una muestra de 50 productos activos y 65 variantes, 65/65 barcodes coincidian con el ID interno de la variante Shopify. Tras publicar el hotfix, el QA post-publicacion en productos ES/EN/FR/DE/NL detecta 0 GTIN/MPN falsos.",https://www.matchwalls.com/products/whispering-woods-verde,"Riesgo de schema falso mitigado; queda pendiente validar feeds y Merchant Center.","Mejora la coherencia de entidades de producto para motores de IA.","Reduce riesgo de datos falsos visibles en schema; pendiente revisar origen de barcodes.",Crítica,Bajo,"Mantener el hotfix publicado; auditar el origen de barcodes y canales/feed antes de limpiar datos de catalogo.",0-30 días,Shopify Admin API + QA publico post-publicacion
CAT-07,Verificado,"La colección principal contradice sus reglas","La colección /collections/murales se titula Todos los Papeles Pintados, pero sus reglas excluyen Muestra y Papel Pintado; contiene 758 productos.",https://www.matchwalls.com/collections/murales,"Crítico: intención, arquitectura y enlaces internos incoherentes.","Alto: clasificación ambigua de la oferta.","Alto: usuarios reciben una categoría distinta a la prometida.",Crítica,Medio,"Definir si la URL representa murales o todo el catálogo; después alinear título, regla, contenido, traducciones y navegación.",0-30 días,Shopify Admin API
CAT-08,Verificado,Metadatos formulaicos y prestaciones no verificadas en colecciones de menú,"En 38 colecciones de Estilos, Colores y Espacios se repite la enumeración Non Woven/Vinílico/Peel and Stick; Cocina y Baños añaden humedad/lavabilidad sin validación técnica por producto.",https://www.matchwalls.com/collections/papeles-pintados-para-banos | https://www.matchwalls.com/collections/murales-para-la-cocina,"Alto: duplicidad y posible inexactitud.","Alto: las IA pueden generalizar prestaciones falsas.","Alto: expectativas incorrectas.",Crítica,Medio,"Validar matriz producto-material-prestación; reescribir colecciones por intención y retirar afirmaciones no demostradas.",0-30 días,Shopify Admin API
CAT-09,Corregido,"Espacios públicos prometía aptitud exterior no demostrada","Título SEO y descripciones ES/EN/FR/DE/NL mencionaban espacios exteriores. Se sustituyeron por contenido neutral para proyectos públicos y profesionales.",https://www.matchwalls.com/collections/murales-para-un-espacio-publico,"Alto: se retiró una afirmación potencialmente engañosa.","Alto: mejora precisión factual.","Alto: reduce riesgo comercial.",Quick win,Bajo,"Realizar QA público y validar materiales antes de añadir prestaciones técnicas.",0-30 días,Shopify Admin API
CAT-10,Corregido,Contenido floral con error gramatical y metadata repetitiva,"La descripción ES contenía una frase rota y las metadescripciones multilingües repetían materiales no verificados. Reescrito en ES/EN/FR/DE/NL.",https://www.matchwalls.com/collections/murales-estilo-floral,"Medio/alto: mejor intención y calidad editorial.","Alto: contenido más claro y citable.","Medio/alto: mejora descubrimiento.",Quick win,Bajo,"Completar QA público y revisar el resto de colecciones de estilos con el mismo patrón.",0-30 días,Shopify Admin API
CAT-11,Verificado,"58 colecciones geográficas con surtido y reglas casi idénticos","Se contaron 58 handles comprar-papel-pintado-*. Madrid, Barcelona, París y Toulouse muestran 73 productos y el mismo surtido inicial.",https://www.matchwalls.com/collections/comprar-papel-pintado-madrid,"Alto: riesgo de contenido doorway y dilución del rastreo.","Alto: muchas páginas con escaso valor diferencial.","Medio/alto: mantenimiento costoso y baja confianza.",Crítica,Alto,"Clasificar con Search Console y ventas: conservar y mejorar solo páginas con demanda/valor; consolidar o retirar del índice el resto.",31-90 días,Shopify Admin API
