orden,fase,lote,tipo,alcance,idiomas,estado,riesgo,dependencias,accion_siguiente,aprobacion_requerida,criterio_salida
0,Documentacion,MW-DOCS-OPERATING-MASTER-016A,Documentacion local,"Crear plan operativo vigente y cola maestra viva; no Shopify","ES|EN|FR|DE|NL",CORREGIDO Y VERIFICADO,Bajo,"Revision documental 2026-06-30","Usar este documento como referencia de avance","No aplica; solicitud documental directa","Documento y CSV creados y verificados"
1,Base publicada,MW-PUBLISH-H1-SEMANTIC-009,Publicacion tema,"Publicacion H1 semantica y matriz 170 pruebas","ES|EN|FR|DE|NL",CORREGIDO Y VERIFICADO,Alto,"008E QA cerrado","Mantener como base historica; no repetir","No aplica","170/170 pruebas y reversibilidad documentada"
2,Base publicada,MW-PUBLISH-TECH-DEBT-010P,Publicacion tema,"Publicacion deuda tecnica acumulada 010","ES|EN|FR|DE|NL",CORREGIDO Y VERIFICADO,Alto,"010Z3 cerrado","Mantener como base activa; no rollback salvo fallo critico","No aplica","Tema tecnico publicado; QA publica y tecnica correcta"
3,Control editorial,MW-I18N-HOME-H1-DE-NL-FR-DIAG-017A,Diagnostico solo lectura,"Revalidar H1 home DE/NL y 500 transitorio FR/EN; localizar origen de textos","DE|NL|FR|EN|ES",CORREGIDO Y VERIFICADO,Alto,"Hallazgo puntual 2026-06-30","Diagnostico cerrado; 017B ejecutado y verificado","No aplica","DE/NL confirmados incorrectos; NL meta sin traduccion; FR/EN 500 transitorio documentado"
4,Control editorial,MW-I18N-HOME-H1-DE-NL-META-FIX-017B,Escritura Shopify,"Corregir general.logo.seo DE/NL y meta_title/meta_description NL mediante Translate/LangShop o flujo autorizado","DE|NL|EN",CORREGIDO Y VERIFICADO,Alto,"017A cerrado","Cerrado; mantener EN outdated como deuda documentada para lote separado si se decide","No aplica; lote ejecutado con aprobacion exacta","H1 DE/NL y metadatos NL correctos; QA ES/EN/FR/DE/NL completado; FR 500 transitorio documentado"
5,Indexabilidad muestras,MW-INDEXABILITY-SAMPLES-POLICY-011B,Criterio,"Politica muestras: noindex por defecto para productos muestra confirmados","ES|EN|FR|DE|NL",CORREGIDO Y VERIFICADO,Alto,"Criterio aprobado por Daniel","Mantener criterio; excepciones solo con evidencia","No aplica","Politica documentada y aplicada a productos muestra confirmados"
6,Indexabilidad muestras,MW-INDEXABILITY-SAMPLES-NOINDEX-ROLLUP-011B6,Postcheck solo lectura,"Revalidar sitemap actual y que solo quedan paginas informativas de muestras indexables","ES|EN|FR|DE|NL",VERIFICADO PERO MEJORABLE,Medio,"011B4/011B5/011B5B ejecutados","Postcheck periodico tras caches/sitemaps","No requiere para lectura","0 productos muestra confirmados indexables; paginas informativas preservadas"
7,Indexabilidad pruebas,MW-INDEXABILITY-FACADE-TEST-CLEANUP-011C1,Escritura Shopify ejecutada,"Noindex de paginas facade-variants/test y ausencia en sitemap","ES|EN|FR|DE|NL",CORREGIDO Y VERIFICADO,Medio,"011A","Mantener; no tocar redirects a home sin lote separado","No aplica","7/7 noindex y fuera de sitemap"
8,Indexabilidad campañas,MW-INDEXABILITY-BLACK-FRIDAY-NOINDEX-011D1,Escritura Shopify ejecutada,"Noindex de colecciones Black Friday obsoletas","ES|EN|FR|NL|IT",CORREGIDO Y VERIFICADO,Medio,"011D decision","Mantener hasta nueva campaña real","No aplica","URLs fuera de sitemap y noindex"
9,Geo collections,MW-INDEXABILITY-GEO-COLLECTIONS-NOINDEX-PILOT-011E1,Escritura Shopify ejecutada,"Piloto noindex de 6 colecciones geograficas no estrategicas","ES|EN|FR|DE|NL",CORREGIDO Y VERIFICADO,Alto,"011E decision","Continuar con rolling solo tras nueva propuesta","No aplica","36 URLs localizadas noindex y ausentes de sitemap"
10,Geo collections,MW-INDEXABILITY-GEO-COLLECTIONS-ROLLING-DIAG-011E2,Diagnostico solo lectura,"Clasificar geograficas restantes por idioma prioritario; excluir IT/PT salvo autorizacion","ES|EN|FR|DE|NL",VERIFICADO PERO MEJORABLE,Alto,"011E1 cerrado; 011H cerrado","Diagnostico cerrado; preparar propuesta formal 011E3 por bloque pequeno excluyendo STANDBY e IT/PT","No aplica; lectura ejecutada","235 URLs prioritarias actuales: 147 candidatas a noindex rolling y 88 en STANDBY; 0 cambios Shopify"
11,Geo collections,MW-INDEXABILITY-GEO-COLLECTIONS-NOINDEX-ROLLING-011E3,Escritura Shopify,"Aplicar noindex por bloques a geograficas no estrategicas confirmadas","ES|EN|FR|DE|NL",REQUIERE DECISION HUMANA,Alto,"011E2 cerrado; requiere propuesta formal con IDs exactos","Preparar propuesta de primer bloque; no ejecutar todavia","APROBADO LOTE MW-INDEXABILITY-GEO-COLLECTIONS-NOINDEX-ROLLING-011E3","Admin seo.hidden, publico noindex y sitemap ausente verificados"
12,Redirecciones,MW-INDEXABILITY-REDIRECTS-FR-DEAD-TARGET-DECISION-011G4B,Diagnostico/decision,"1 redirect FR terminaba en 301 -> 404; candidata salle de bain no demostrada","FR",CORREGIDO Y VERIFICADO,Alto,"011G4A cerrado; 011G4B2 ejecutado","Decision cerrada: limpieza ejecutada; no repuntar por equivalencia no fiable","No aplica; lectura ejecutada y escritura cerrada en 011G4B2","Decision humana documentada; redirect FR muerto eliminado"
13,Redirecciones,MW-INDEXABILITY-REDIRECTS-FR-DEAD-TARGET-REPOINT-BATHROOM-011G4B1,Escritura Shopify,"Alternativa no aplicada: repuntar redirect FR muerto a /fr/collections/salles-de-bain-peintes solo si equivalencia futura se confirma","FR",STANDBY,Alto,"011G4B opcion A descartada en ejecucion 011G4B2","No ejecutar salvo nueva decision comercial que confirme equivalencia","Requeriria aprobacion exacta nueva si se reactiva","Alternativa no aplicada; candidata preservada sin cambios"
14,Redirecciones,MW-INDEXABILITY-REDIRECTS-FR-DEAD-TARGET-CLEANUP-011G4B2,Escritura Shopify,"Eliminar redirect FR muerto si no existe equivalencia fiable","FR",CORREGIDO Y VERIFICADO,Medio,"011G4B opcion B; aprobacion exacta recibida","Cerrado; no repetir salvo reversion aprobada","No aplica; ejecutado con aprobacion exacta","Redirect eliminado; fuente 404 directo; target muerto sin redirects entrantes; sitemap limpio"
15,Redirecciones,MW-INDEXABILITY-REDIRECTS-HOME-TARGET-DIAG-011G5,Diagnostico solo lectura,"Clasificar 36 redirects con target /; separar basura, legacy, equivalentes y recuperables","ES|EN|FR|DE|NL",VERIFICADO PERO MEJORABLE,Alto,"011G4B2 cerrado","Diagnostico cerrado; preparar 011G5A solo para URL de prueba; ES art requiere decision; NO queda STANDBY","No requiere para lectura","36/36 redirects clasificados; 0/36 en sitemap; todos 301 -> 200 home"
16,Redirecciones,MW-INDEXABILITY-REDIRECTS-HOME-TARGET-CLEANUP-011G5A,Escritura Shopify,"Eliminar redirect /pages/facade-variants/test -> / si Daniel confirma que no debe conservar equivalencia","ES",CORREGIDO Y VERIFICADO,Medio,"011G5 cerrado","Cerrado; continuar con decision 011G5B o diagnostico 011G7","No aplica; ejecutado con aprobacion exacta","Redirect eliminado; fuente devuelve 404; target:/ baja de 36 a 35; sitemap limpio"
16.1,Redirecciones,MW-INDEXABILITY-REDIRECTS-HOME-TARGET-ES-ART-DECISION-011G5B,Decision/diagnostico,"Decidir politica para 4 colecciones ES antiguas de lienzos/cuadros que apuntan a home","ES",CORREGIDO Y VERIFICADO,Medio,"011G5 cerrado; 011G5A ejecutado","Decision cerrada: se ejecuto limpieza 011G5B1; no repuntar sin nueva landing canonica aprobada","No aplica; lectura ejecutada","4 redirects y candidatos verificados; limpieza elegida y ejecutada"
