"bloque","estado","evidencia","decision","siguiente_lote_recomendado","impacto_shopify"
"Shopify Engineering ticket 68731900","STANDBY","Soporte confirmó ticket con incidencias HTML/cache ES-FR y home 500; home 500 verificada en 014A con request d3dce9ae-7dbc-4036-8bb3-07c7dc433252-1783257509","Congelar cambios de storefront hasta respuesta","MW-SHOPIFY-ENGINEERING-FIX-POSTCHECK-013F4 cuando Shopify responda","No tocar"
"Home / entidad principal","RIESGO CRITICO","https://www.matchwalls.com/ devuelve 500 en comprobación 2026-07-05 15:18 Europe/Madrid; theme 178399019384; pageType index; edge MAD","No tocar tema ni home; esperar ingeniería","MW-HOME-RENDER-500-THEME-APP-DIAG-013F2 solo si Shopify lo pide","No tocar"
"Robots y sitemap","VERIFICADO PERO MEJORABLE","robots.txt 200 y sitemap.xml 200 en comprobación mínima 014A","No cambiar robots/sitemap ahora","MW-CRAWLERS-AI-FILES-LLMS-AGENTS-FACTUAL-DIAG-013C1 en standby","No tocar"
"Deuda técnica global 010","CORREGIDO Y VERIFICADO","MW-PUBLISH-TECH-DEBT-010P; 170 URLs QA; tema 178399019384 publicado","Mantener como cerrado; no confundir con incidencia infra posterior","Ninguno inmediato","No tocar"
"Indexabilidad muestras","CORREGIDO Y VERIFICADO","011B-011B5B: política, piloto, rolling y anomalía de muestras","Mantener noindex para productos muestra confirmados; no reenviar manualmente si no son indexables","Monitorizar solo si aparecen indexadas/citadas","No tocar"
"Indexabilidad geográficas","VERIFICADO PERO MEJORABLE","011E/011E1/011E2; protegidas ES-FR; noindex masivo descartado sin datos GSC","No ejecutar noindex masivo; proteger Barcelona Madrid Valencia Málaga Sevilla Alicante Girona Tarragona Bizkaia Gipuzkoa Granada Murcia Zaragoza París Lyon Toulouse Marsella Burdeos Nantes Lille Niza Montpellier Estrasburgo","MW-INDEXABILITY-GEO-COLLECTIONS-GSC-DECISION posterior","No tocar"
"Redirects 011F-011G","VERIFICADO PERO MEJORABLE","Varias consolidaciones y limpiezas ejecutadas; 011H aún mejorable","No hacer cambios adicionales hasta revisar canonical/hreflang y ticket Shopify","MW-INDEXABILITY-CANONICAL-HREFLANG-NEXT-011H2 posterior","No tocar ahora"
"Canonical hreflang 011H","VERIFICADO PERO MEJORABLE","diagnostico-MW-INDEXABILITY-CANONICAL-HREFLANG-DIAG-011H-2026-07-01.md","Pendiente de siguiente lote quirúrgico cuando storefront esté estable","MW-INDEXABILITY-CANONICAL-HREFLANG-NEXT-011H2","No tocar ahora"
"Landings España Francia 012","STANDBY","Contenido/schema/interlinking trabajados; 012O/012O7 muestran inconsistencia storefront; incluido en ticket 68731900","No tocar LangShop, páginas, SEO, schema ni enlaces visibles","MW-GEO-LANDINGS-SPAIN-FRANCE-STOREFRONT-POSTFIX-QA-012P tras respuesta Shopify","No tocar"
"Schema geográfico ES-FR 012L6B","CORREGIDO Y VERIFICADO","resultado-MW-GEO-LANDINGS-SPAIN-FRANCE-SCHEMA-MAIN-MANUAL-CODE-012L6B-2026-07-04.md","No seguir ampliando schema hasta estabilidad storefront","MW-GEO-LANDINGS-SPAIN-FRANCE-RICH-RESULTS-POSTFIX-QA posterior","No tocar"
"Interlinking ES-FR 012O","INCOMPLETO","resultado 012O y post-purge 012O7 con render/cache shard no estable","Bloqueado por ticket Shopify","MW-GEO-LANDINGS-SPAIN-FRANCE-INTERNAL-LINKING-CLOSE-012O8 posterior","No tocar"
"Bing Webmaster 013E","VERIFICADO PERO MEJORABLE","Sitio importado; sitemap success; AI Performance con citas","Continuar solo lectura y línea base","MW-BING-WEBMASTER-SEARCH-PERFORMANCE-BASELINE-013J","No impacta Shopify"
"Bing AI cited URLs","VERIFICADO PERO MEJORABLE","013E5-013E9; URLs citadas detectadas y clasificadas parcialmente","Profundizar clasificación sin corregir todavía","MW-BING-AI-PERFORMANCE-CITED-URLS-BASELINE-013J1","No impacta Shopify"
"Hub collections root i18n","REQUIERE DECISION HUMANA","013E13E publish readiness detecta bloqueos; card titles seguros sí corregidos","No publicar/reestructurar hub completo ahora","MW-COLLECTIONS-ROOT-HUB-I18N-PUBLISH-DECISION posterior","No tocar ahora"
"Collection card titles 013E16","CORREGIDO Y VERIFICADO","10 títulos visibles traducidos corregidos y verificados en ES/EN/FR/DE/NL","Mantener cerrado","Ninguno inmediato","No tocar"
"Black Friday hub evergreen","CORREGIDO Y VERIFICADO","013E16E2 publicó exclusión quirúrgica de Black Friday en main-list-collections.liquid; QA 5 idiomas PASS","Mantener cerrado; reversión disponible por backup","Ninguno inmediato","No tocar"
"IndexNow app","VERIFICADO PERO MEJORABLE","StoreSpark Premium instalada; ES default + EN/FR/DE/NL activos; Bing Webmaster muestra URLs recibidas","No reenvíos masivos; monitorizar discrepancia app vs Bing","MW-INDEXNOW-BING-WEBMASTER-DISCREPANCY-FOLLOWUP posterior","No tocar ahora"
"URLs noindex históricas IndexNow","VERIFICADO Y CORRECTO","013I6 define política para custom-file-uploader y URLs técnicas noindex","No retirar ni reenviar sin evidencia de indexación/cita","Monitorización si aparece evidencia","No tocar"
"Crawlers IA policy","VERIFICADO Y CORRECTO","013C review: no cambiar robots; visibilidad primero; training bots decisión separada","Mantener política sin cambios","Ninguno inmediato","No tocar"
"Entidad factual y schema global","INCOMPLETO","Trabajo parcial en landings/schema; falta cierre global ES/EN/FR/DE/NL","Preparar borradores locales; no implementar","MW-ENTITY-FACTUAL-SCHEMA-GLOBAL-BRIEF-014D futuro","No tocar ahora"
