grupo,conteo_verificado,estado,riesgo,decision_recomendada,siguiente_lote_sugerido,evidencia_principal
Total redirects Admin,634,VERIFICADO PERO MEJORABLE,Medio,"No actuar masivamente; trabajar por sublotes","N/A","redirects-counts-MW-INDEXABILITY-REDIRECTS-GLOBAL-REMAINING-DIAG-011G-2026-06-29.csv"
Colecciones ES color con redirect Admin inerte y target 404,14,RIESGO CRITICO,Alto,"Preparar propuesta para eliminar solo redirects Admin inertes, sin tocar colecciones ni handles","MW-INDEXABILITY-REDIRECTS-COLOR-COLLECTIONS-STALE-011G1","qa-sitemap-exact-MW-INDEXABILITY-REDIRECTS-GLOBAL-REMAINING-DIAG-011G-2026-06-29.csv; qa-publico-sitemap-sources-MW-INDEXABILITY-REDIRECTS-GLOBAL-REMAINING-DIAG-011G-2026-06-29.csv"
FR prioritario con cadenas y 404,23,RIESGO CRITICO,Alto,"Diagnóstico/propuesta específica FR; no consolidar sin IDs de cada redirect intermedio","MW-INDEXABILITY-REDIRECTS-FR-CHAINS-404-DIAG-011G2","qa-publico-fr-en-ar-MW-INDEXABILITY-REDIRECTS-GLOBAL-REMAINING-DIAG-011G-2026-06-29.csv"
Productos/páginas con redirect a 404,7,INCORRECTO,Alto,"Propuesta específica para retirar o repuntar redirects con destino muerto tras validar producto/colección destino correcto","MW-INDEXABILITY-REDIRECTS-PRODUCT-DEAD-TARGETS-DIAG-011G3","qa-publico-products-pages-MW-INDEXABILITY-REDIRECTS-GLOBAL-REMAINING-DIAG-011G-2026-06-29.csv; qa-publico-recheck-product-errors-MW-INDEXABILITY-REDIRECTS-GLOBAL-REMAINING-DIAG-011G-2026-06-29.csv"
Redirects a home,target:/ = 36,RIESGO CRITICO,Alto,"No borrar masivamente; clasificar intención y decidir si conservar, repuntar o eliminar","MW-INDEXABILITY-REDIRECTS-HOME-DUMP-DIAG-011G4","redirects-risk-samples-MW-INDEXABILITY-REDIRECTS-GLOBAL-REMAINING-DIAG-011G-2026-06-29.csv"
matchwallsmurals legacy,333,REQUIERE DECISION HUMANA,Alto,"Mantener STANDBY hasta política global de handles legacy e idiomas no prioritarios","MW-INDEXABILITY-REDIRECTS-MATCHWALLSMURALS-POLICY-011G5","redirects-counts-MW-INDEXABILITY-REDIRECTS-GLOBAL-REMAINING-DIAG-011G-2026-06-29.csv"
matchwallswallpapers legacy,44,REQUIERE DECISION HUMANA,Alto,"No tocar en masa; se solapa con FR/EN y lenguas legacy","MW-INDEXABILITY-REDIRECTS-MATCHWALLSMURALS-POLICY-011G5","redirects-counts-MW-INDEXABILITY-REDIRECTS-GLOBAL-REMAINING-DIAG-011G-2026-06-29.csv"
Idiomas legacy no prioritarios,EL/SV/HE/PL/HU/HI/JA/ZH/NO = 351+,STANDBY,Medio-Alto,"No tocar sin política internacional; varios protegen URLs antiguas","MW-INDEXABILITY-LEGACY-LOCALES-POLICY-011G6","redirects-counts-MW-INDEXABILITY-REDIRECTS-GLOBAL-REMAINING-DIAG-011G-2026-06-29.csv"
path:/collections/murales,0,CORREGIDO Y VERIFICADO,Bajo,"Sin acción; la colisión sigue corregida","N/A","redirects-counts-MW-INDEXABILITY-REDIRECTS-GLOBAL-REMAINING-DIAG-011G-2026-06-29.csv"
Black Friday/matchalls/norid/enchathed,0,VERIFICADO Y CORRECTO,Bajo,"Sin acción en redirects Admin","N/A","redirects-counts-MW-INDEXABILITY-REDIRECTS-GLOBAL-REMAINING-DIAG-011G-2026-06-29.csv"
