recurso,id_url_handle,idioma,estado,problema_evidencia,recomendacion,prioridad,riesgo,estado_ejecucion
Menu footer,gid://shopify/Menu/210266325219 / footer,ES-EN-FR-DE-NL,VERIFICADO Y CORRECTO,"Menu activo sin Gift Card/Tarjeta regalo, Black Friday ni Envios internacionales","Mantener sin cambios",Alta,Bajo,Verificado solo lectura
Menu footer-profesional,gid://shopify/Menu/210972311779 / footer-profesional,ES-EN-FR-DE-NL,VERIFICADO Y CORRECTO,"Menu activo correcto y sin residuos criticos","Mantener sin cambios",Alta,Bajo,Verificado solo lectura
Menu footer-brand,gid://shopify/Menu/210972344547 / footer-brand,ES-EN-FR-DE-NL,VERIFICADO Y CORRECTO,"Menu activo no contiene Tarjeta regalo/Gift Card","Mantener sin cambios",Alta,Bajo,Verificado solo lectura
Menu footer-legal,gid://shopify/Menu/210972410083 / footer-legal,ES-EN-FR-DE-NL,VERIFICADO Y CORRECTO,"Menu activo legal correcto","Mantener sin cambios",Media,Bajo,Verificado solo lectura
Menu legacy footer-matchwalls,gid://shopify/Menu/210969952483 / footer-matchwalls,ES,CORREGIDO Y VERIFICADO,"Menu renombrado a ZZ LEGACY y sin items","No tocar salvo reversion aprobada",Alta,Medio,Verificado solo lectura
Tema MAIN,gid://shopify/OnlineStoreTheme/178383749496,Global,VERIFICADO Y CORRECTO,"MAIN identificado como SEO schema hotfix - 2026-06-15","Usar como unica referencia de produccion",Alta,Medio,Verificado solo lectura
sections/footer-group.json,gid://shopify/OnlineStoreTheme/178383749496 / sections/footer-group.json,Global,VERIFICADO Y CORRECTO,"Referencia footer-profesional, footer-brand, footer y footer-legal; no referencia footer-matchwalls","No cambiar sin fuente exacta",Alta,Medio,Verificado solo lectura
sections/footer.liquid,gid://shopify/OnlineStoreTheme/178383749496 / sections/footer.liquid,Global,VERIFICADO Y CORRECTO,"Renderiza menu.links; no contiene enlaces hardcodeados Gift Card/Black Friday/International shipments","No cambiar MAIN sin lote especifico",Alta,Alto,Verificado solo lectura
sections/header-group.json,gid://shopify/OnlineStoreTheme/178383749496 / sections/header-group.json,Global,VERIFICADO PERO MEJORABLE,"Contiene bloques deshabilitados con Gift Card en header/mobile/mega menu; no explica por si solo footer publico","Registrar deuda separada; no mezclar con footer 007",Media,Medio,Verificado solo lectura
Traducciones MENU activas,resourceType MENU,EN-FR-DE-NL,VERIFICADO Y CORRECTO,"Titulos activos del footer traducidos y actualizados 2026-06-17","Mantener sin cambios",Alta,Bajo,Verificado solo lectura
Traduccion legacy MENU DE,gid://shopify/Menu/210969952483,DE,VERIFICADO PERO MEJORABLE,"Legacy vacio conserva titulo DE antiguo Fusszeilen-Matchwalls","Evaluar limpieza solo si se demuestra impacto publico",Baja,Bajo,Verificado solo lectura
HTML publico EN,https://www.matchwalls.com/en,EN,CORREGIDO Y VERIFICADO,"HTTP directo actual con cache no-store y DOM renderizado no contienen Gift Card, Gift card, International shipments, Black Friday 2024 ni Professional & social","No ejecutar escritura; monitorizar caches externas y Search Console",Alta,Bajo,Verificado solo lectura 2026-06-17 21:44
HTML publico ES,https://www.matchwalls.com/,ES,CORREGIDO Y VERIFICADO,"HTTP directo actual con cache no-store y DOM renderizado no contienen Tarjeta regalo, Envios internacionales, Black Friday 2024 ni PROFESIONALES & SOCIAL","No ejecutar escritura; monitorizar caches externas y Search Console",Alta,Bajo,Verificado solo lectura 2026-06-17 21:44
HTML publico FR,https://www.matchwalls.com/fr,FR,CORREGIDO Y VERIFICADO,"HTTP directo actual con cache no-store y DOM renderizado no contienen Carte-cadeau, Envois internationaux ni Black Friday 2024","No ejecutar escritura; monitorizar caches externas y Search Console",Alta,Bajo,Verificado solo lectura 2026-06-17 21:44
HTML publico DE,https://www.matchwalls.com/de,DE,CORREGIDO Y VERIFICADO,"HTTP directo actual con cache no-store y DOM renderizado no contienen Geschenkkarte ni Black Friday 2024","No ejecutar escritura; monitorizar caches externas y Search Console",Alta,Bajo,Verificado solo lectura 2026-06-17 21:44
HTML publico NL,https://www.matchwalls.com/nl,NL,CORREGIDO Y VERIFICADO,"HTTP directo actual con cache no-store y DOM renderizado no contienen Cadeaubon ni Black Friday 2024","No ejecutar escritura; monitorizar caches externas y Search Console",Alta,Bajo,Verificado solo lectura 2026-06-17 21:44
Extractor externo previo,web.open/cache externa,ES-EN-FR,DECLARADO PERO NO VERIFICADO,"Evidencia previa mostraba HTML antiguo; no reproducida en HTTP no-store ni DOM actual","No usar como fuente de verdad actual; repetir solo si hay nueva evidencia",Media,Bajo,Cerrado como stale/no reproducido
Peticion local sin cache,PowerShell/curl local,EN,NO ACCESIBLE,"Fallo previo de conexion/proxy/TLS local; sustituido por HTTP directo Node actual con status 200","Usar HTTP directo Node y navegador para verificaciones futuras",Media,Bajo,Superado por nueva evidencia
Origen exacto del residuo,N/A,Global,VERIFICADO Y CORRECTO,"No hay residuo actual en web servida; IDs legacy de LangShop no existen como Link traducible vivo ni aparecen en menus actuales","Cerrar 007 sin escritura; continuar con deuda tecnica separada",Alta,Bajo,Cerrado sin cambios Shopify
