orden,oleada,lote,objetivo,dependencias,alcance,idiomas,tipo,riesgo,estado,aprobacion,reversion,criterio_salida
1,0,MW-PUBLISH-H1-SEMANTIC-009,Publicar tema H1 y repetir 170 pruebas,008E-ISOLATED-QA cerrado,"Temas 178396463480 y 178383749496; 17 paginas; 85 URLs",ES|EN|FR|DE|NL,Publicacion,Alto,CORREGIDO Y VERIFICADO,APROBADO LOTE MW-PUBLISH-H1-SEMANTIC-009,Republicar 178383749496,170/170 y pruebas globales correctas
1.5,0,MW-THEME-LIBRARY-CLEANUP-009B,Respaldar y eliminar un tema antiguo,009 cerrado y limite de 20 temas,Tema UNPUBLISHED 142344224995,No aplica,Respaldo/eliminacion,Medio,CORREGIDO Y VERIFICADO,Ejecutado 2026-06-18,Reimportar ZIP con ID nuevo,19 temas y MAIN/reversion intactos
2,1,MW-TECH-JS-ADD-EVENT-LISTENER-010A,Corregir error JavaScript global,009 y 009B cerrados,Tema auxiliar 178399019384 y snippets/srolling_bar_menu.liquid,ES|EN|FR|DE|NL,Tema JavaScript,Alto,VERIFICADO PERO MEJORABLE,Ejecutado 2026-06-18,Restaurar archivo original o descartar auxiliar,Error ausente 170/170; tracking preexistente roto
2.1,1,MW-TECH-DYNAMIC-MEASURE-TRACKING-010A2D,Corregir tracking de medidas dinamicas,010A2 y 010A2B fallidos; R1 restaurado; 010A2C diagnosticado,Tema auxiliar 178399019384 y snippets/external-selectors.liquid,ES|EN|FR|DE|NL,Tema JavaScript,Alto,CORREGIDO Y VERIFICADO,010A2D ejecutado 2026-06-25; external-selectors 95266feda1603e9c9ef028f0dae74c6f; eventos input_mural_outside verificados en URL critica ES/EN/FR/DE/NL; MAIN intacto,Restaurar external-selectors a 8a9c233bca52da58ce59fffc3aee8359 si se revierte; no publicar sin matriz,Tracking dinamico corregido en tema auxiliar; srolling_bar_menu no modificado; producto estandar sin errores de consola y anchura verificada
2.2,1,MW-TECH-PRODUCT-FILEINPUT-GUARD-010A3,Corregir listener nulo de customImage,010A2 revertido,Tema auxiliar 178399019384 y snippets/product-customizer.liquid,ES|EN|FR|DE|NL,Tema JavaScript,Alto,VERIFICADO PERO MEJORABLE,Ejecutado manual y verificado 2026-06-18,Restaurar checksum 3878a24a9bb6cb134247ac6aff707a58,Producto estandar sin error; cargador revela siguiente nulo
2.3,1,MW-TECH-UPLOADER-OPENMODAL-GUARD-010A4,Corregir listener nulo openModalButton,010A3 verificado pero cargador falla,Tema auxiliar 178399019384 y snippets/product-customizer.liquid,ES|EN|FR|DE|NL,Tema JavaScript,Alto,CORREGIDO Y VERIFICADO,Checksum exacto; QA 20/20 y matriz 170/170,Restaurar checksum 8f8a7d213f04ace77c4003647053f763,Producto y cargador sin error; luego 170 pruebas
2.4,1,MW-TECH-CUSTOMIZER-CONVERT-INCHES-010A5,Proteger conversion inexistente,010A4 cerrado,Tema auxiliar 178399019384 y assets/customizer.js,ES|EN|FR|DE|NL,Tema JavaScript,Alto,CORREGIDO Y VERIFICADO,Checksum exacto; medidas estables; 20/20 y 170/170,Restaurar MD5 2a26be9d6af37a992526274df431deaa,Medidas y precios estables; 20 y 170 pruebas
3,1,MW-TECH-NL-SYNTAX-010B,Corregir SyntaxError en paginas Nuestros productos,010A5 cerrado,"Tema auxiliar 178399019384; snippets/ultimate-datalayer.liquid; cinco URLs localizadas",ES|EN|FR|DE|NL,Tema Liquid/JavaScript,Alto,CORREGIDO Y VERIFICADO,Ejecutado 2026-06-20,Restaurar MD5 449db7505f61b2f81c835cc32669c37c o descartar auxiliar,20/20 pruebas especificas y 170/170 sin regresiones
4,1,MW-TECH-MOBILE-OVERFLOW-FR-NL-010C,Eliminar overflow movil,010B cerrado,"Tema auxiliar 178399019384; assets/theme.css; footer y encabezados multi-column",ES|EN|FR|DE|NL,Tema CSS,Medio,INCORRECTO,Ejecutado y revertido 2026-06-25; candidato insuficiente,Reversion ejecutada en auxiliar; checksum final NO ACCESIBLE en este turno,QA centinela fallo: FR +33 px y NL +6 px con candidato activo
4.1,1,MW-TECH-MOBILE-OVERFLOW-LEGAL-FLEX-010C2,Corregir overflow legal movil FR/NL con layout flexible,010C ejecutado y revertido,"Tema auxiliar 178399019384; assets/theme.css; custom-legal footer y encabezados multi-column",ES|EN|FR|DE|NL,Tema CSS,Medio,CORREGIDO Y VERIFICADO,APROBADO LOTE MW-TECH-MOBILE-OVERFLOW-LEGAL-FLEX-010C2; ejecutado 2026-06-25; checksum b86a0e260263eed6a2586a3e7bca8e05,Retirar bloque 010C2 exacto; restaurar MD5 05810cc93feb785cc81aed10513a297a o descartar auxiliar,FR/NL 34/34 a 390 y 34/34 a 375; mobile 85/85; desktop 85/85; overflow max 0; MAIN y rollback intactos
