step,area,resource,language,current_public_state,manual_field_state,status,notes
"1","Public HTML","Spain page","ES","Shows 012J3 value in meta/og/twitter","","INCORRECTO","Public recheck confirms value persists after native UI shows empty."
"2","Public HTML","Spain page","DE","Shows 012J3 value in meta/og/twitter","","INCORRECTO","Priority issue: German meta is Spanish."
"3","Public HTML","Spain page","FR","Autogenerated FR meta","","VERIFICADO PERO MEJORABLE","No Spanish contamination."
"4","Public HTML","Spain page","EN","Autogenerated EN meta","","VERIFICADO PERO MEJORABLE","No Spanish contamination."
"5","Public HTML","Spain page","NL","Autogenerated NL meta","","VERIFICADO PERO MEJORABLE","No Spanish contamination."
"6","LangShop","Page 687276622200","DE","Public DE shows 012J3 value","SEO title DE visible empty; meta description DE visible empty; preview shows Spanish fallback","VERIFICADO PERO MEJORABLE","Screenshot confirms visible editable SEO fields are empty and no unsaved-changes banner is visible. This does not locate hidden storage."
"7","LangShop","Page 687276622200","ES","Public ES shows 012J3 value","PENDING MANUAL CHECK","INCOMPLETO","Next safe check: inspect LangShop ES visible SEO fields without saving."
"8","LangShop","Page 687276622200","ES","Public ES shows 012J3 value","SEO title ES visible empty; meta description ES visible empty; preview shows Spanish fallback","VERIFICADO PERO MEJORABLE","Screenshot confirms visible editable SEO fields are empty and no unsaved-changes banner is visible."
"9","Public HTML Accept-Language","Spain page","DE","Variable earlier; latest default and de-DE show autogenerated German meta","Not applicable","VERIFICADO PERO MEJORABLE","Accept-Language test shows DE can render clean localized meta; earlier contamination may be propagation/fallback."
"10","Public HTML Accept-Language","Spain page","NL","Default/no Accept-Language can show 012J3; nl-NL shows autogenerated Dutch meta","Not applicable","INCORRECTO","Risk remains for crawlers/users without locale header."
"11","Theme local evidence","theme.liquid/social-meta-tags","all","meta/og/twitter use page_description","Not applicable","VERIFICADO Y CORRECTO","Local theme files show page_description feeds meta description, og:description and twitter fallback."
